_id,PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
11,174040840,18044393,0,2018-03-09T07:30:00,"500 Block S Negley Ave Pittsburgh, PA 15232",N,Shadyside,4,99,9999 9999 - (Misc. Incident): Found (Possible) Narcotics,709,,,-79.9277240358097,40.4678115188504
12,174063993,18044448,0,2018-03-08T23:00:00,"Liberty Ave & Wood St Pittsburgh, PA 15222",N,Central Business District,2,99,9999 9999 - (Misc. Incident): ,201,,,-79.9991501722773,40.4426246733499
13,174069369,18044503,0,2018-03-09T12:00:00,"900 Block Freeport Rd Pittsburgh, PA 15206",N,Lincoln-Lemington-Belmar,5,99,9999 9999 - (Misc. Incident): ,1201,,,-79.8943172243871,40.4880818149065
14,173742011,18041862,99,2018-03-05T10:11:00,"1100 Block Buente St Pittsburgh, PA 15212",N,Spring Hill-City View,1,MISSING PERSONS (18+),9490 Missing Persons (18 and Over),2620,,,-79.9955448267625,40.4666165793228
15,-3016000095,18028821,6,2018-02-14T13:54:00,"200 Block Atwood St Pittsburgh, PA 15213",N,Central Oakland,4,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,405,,,-79.9568888662713,40.4404204065315
16,172615260,18028886,5,2018-02-14T16:00:00,"400 Block Moore Ave Pittsburgh, PA 15210",N,Knoxville,3,BURGLARY,3502 Burglary.,3001,,,-79.9951494761931,40.4119980761772
17,172619818,18028896,17,2018-02-14T16:54:00,Zone 1,N,,1,INDECENT ASSAULT,3126 Indecent Assault.,,,,,
18,172620864,18028936,18,2018-02-14T17:09:00,"30 Block Mairdale Ave Pittsburgh, PA 15214",Y,Perry North,1,STOLEN PROPERTY,13(a)(32) Paraphernalia - Use or Possession,2602,,,-80.0186666535402,40.4897900259852
19,172622974,18028934,5,2018-02-14T17:00:00,"400 Block Garner Ct Pittsburgh, PA 15219",N,Terrace Village,2,BURGLARY,3502 Burglary.,511,,,-79.9699893651857,40.4424652871828
20,172630775,18029035,0,2018-02-14T18:20:00,"2000 Block E Carson St Pittsburgh, PA 15203",N,South Side Flats,3,99,9999 9999 - (Misc. Incident): ,1702,,,-79.9775074840267,40.4283102180068
21,172632202,18029052,6,2018-02-14T21:00:00,"22nd St & Smallman St Pittsburgh, PA 15222",N,Strip District,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3304 Criminal Mischief.,203,,,-79.9831090060598,40.452925247831
22,172634709,18029075,10,2018-02-14T22:19:00,"200 Block Devilliers St Pittsburgh, PA 15219",Y,Middle Hill,2,RESIST ARREST/OTHER LAW ENFORC,5104 Resisting Arrest or Other Law Enforcement. / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION / 4914 False Identification to Law Enforcement Authorities,501,,,-79.9817869496151,40.4457231843015
23,-2751023685,18040345,0,2018-03-02T21:05:00,"S 9th St Pittsburgh, PA 15203",N,South Side Flats,3,99,9999 9999 - (Misc. Incident): ,1702,,,-79.9897415905147,40.4288627931899
24,173680702,18040867,6,2018-03-03T14:30:00,"2800 Block Frederick St Pittsburgh, PA 15212",Y,Marshall-Shadeland,1,THEFT,3921 Theft by Unlawful Taking or Disposition. / 4106 Access Device Fraud,2715,,,-80.0296570868225,40.4699590592525
25,-3093000308,18040807,0,2018-03-03T14:15:00,"5800 Block Beacon St Pittsburgh, PA 15217",N,Squirrel Hill South,4,99,9999 9999 - (Misc. Incident): SUSPICOUS ACTIVITY,1408,,,-79.9227046711103,40.4347150542797
26,173685631,18040990,99,2018-02-28T17:30:00,"Liberty Ave & Bloomfield Brg Pittsburgh, PA 15224",N,North Oakland,5,LOST PROPERTY,9504 Lost Property,507,,,-79.9528857343588,40.4636188560138
27,173685725,18040944,10,2018-03-03T18:30:00,"200 Block Parkfield St Pittsburgh, PA 15210",Y,Carrick,3,SIMPLE ASSAULT,2701 Simple Assault. / 5505 Public Drunkenness / 5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE,2901,,,-79.9904109316451,40.3919923060245
28,173692619,18041198,6,2018-03-04T01:35:00,"70 Block E Carson St Pittsburgh, PA 15210",N,South Shore,3,THEFT,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake.",1921,,,-80.0019248014831,40.4310759941472
29,173692817,18041021,27,2018-03-03T20:57:00,"3400 Block Beechwood Blvd Pittsburgh, PA 15217",N,Greenfield,4,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1517,,,-79.9270448461522,40.4205815047068
30,173698882,18041194,20,2018-03-04T03:11:00,"400 Block Suncrest St Pittsburgh, PA 15210",Y,Knoxville,3,ENDANGER WELFARE OF CHILDREN,4304(a)(1) Endangering Welfare of Children.,3001,,,-79.9949890333323,40.4111815408835
31,173702769,18041342,10,2018-03-04T11:28:00,"60 Block Harwood St Pittsburgh, PA 15211",Y,Mount Washington,3,SIMPLE ASSAULT,2701 Simple Assault.,1807,,,-80.0041403906718,40.4245285245064
32,173704588,18040832,14,2018-03-03T15:30:00,"1000 Block Creedmoor Ave Pittsburgh, PA 15226",N,Brookline,6,CRIM MISCHIEF,3304 Criminal Mischief.,1918,,,-80.0159631545945,40.3915519322346
33,173381084,18037756,5,2018-02-27T06:43:00,"200 Block Paulson Ave Pittsburgh, PA 15206",N,Larimer,5,BURGLARY,3502 Burglary.,1208,,,-79.9147117183134,40.4615146935085
34,173383155,18037802,6,2018-02-27T10:45:00,"800 Block Allegheny Ave Pittsburgh, PA 15233",N,Chateau,1,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2108,,,-80.0185344355501,40.4506299631587
35,173552886,18035933,14,2018-02-24T14:00:00,"1700 Block Laporte St Pittsburgh, PA 15206",N,Lincoln-Lemington-Belmar,5,CRIM MISCHIEF,3304 Criminal Mischief.,1201,,,-79.8901219087683,40.4717499053062
36,173748595,18039269,10,2018-02-19T17:15:00,"200 Block Elmore  St Pittsburgh, PA 15219",N,Crawford-Roberts,2,SIMPLE ASSAULT,2701 Simple Assault. / 4304(a)(1) Endangering Welfare of Children.,305,,,-79.9753460868664,40.4418146708969
37,173822548,18042572,6,2018-03-06T12:00:00,"1500 Block Eckert St Pittsburgh, PA 15212",Y,Marshall-Shadeland,1,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2715,,,-80.033749780879,40.4714304202629
38,174319849,18047691,6,2018-03-14T11:39:00,"4200 Block Perrysville Ave Pittsburgh, PA 15214",Y,Perry North,1,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2602,,,-80.0210444279685,40.4944546474708
39,-3194000155,18028636,5,2018-02-14T08:30:00,"1800 Block Jane St Pittsburgh, PA 15203",N,South Side Flats,3,BURGLARY,3502 Burglary.,1702,,,-79.9807034900644,40.4268958100904
40,-3034011940,18028616,6,2018-02-14T07:30:00,"2800 Block Neeld Ave Pittsburgh, PA 15216",N,Beechview,6,THEFT,3921 Theft by Unlawful Taking or Disposition.,1920,,,-80.0309807692461,40.402681704071
41,172601112,18028746,6,2018-02-14T12:10:00,"4700 Block Centre Ave Pittsburgh, PA 15213",N,Bloomfield,5,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,804,,,-79.949277413781,40.4525512540161
42,-3173001036,18028650,10,2018-02-14T09:00:00,"400 Block Kirkpatrick St Pittsburgh, PA 15219",Y,Middle Hill,2,HARRASSMENT,2709 Harassment (Non-Specific),501,,,-79.9755600390979,40.4444742278297
43,173967075,18038174,6,2018-02-27T18:40:00,"600 Block First Ave Pittsburgh, PA 15219",Y,Central Business District,2,THEFT,3921 Theft by Unlawful Taking or Disposition.,201,,,-79.9963009852286,40.4346965877756
44,173970708,18043796,99,2018-03-08T08:20:00,"1600 Block E Carson St Pittsburgh, PA 15203",N,South Side Flats,3,GAMBLING INVESTIGATION,9130 Graffiti Investigation,1702,,,-79.9826465263892,40.4287467462249
45,173999878,18043868,99,2018-03-08T11:10:00,"300 Block N Braddock Ave Pittsburgh, PA 15208",N,Point Breeze North,4,AIDED CASE,9497 Aided Case,1405,,,-79.8927981107979,40.4496466570257
46,174000241,18043896,6,2018-03-08T11:55:00,"3700 Block Bigelow Blvd Pittsburgh, PA 15213",N,Upper Hill,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,506,,,-79.9565905202667,40.4581279010889
47,174001166,18043933,27,2018-03-08T09:35:00,"Ross St & Forbes Ave Pittsburgh, PA 15219",N,Central Business District,2,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,201,,,-79.9960558177448,40.4382275983931
48,174007209,18043947,27,2018-03-08T13:30:00,"3800 Block Baytree St Pittsburgh, PA 15214",N,Perry North,1,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2602,,,-80.0161275769607,40.4893894314036
49,174014193,18044016,99,2018-03-07T17:30:00,"1200 Block Coal St Wilkinsburg, PA 15221",N,Outside City,OSC,LOST PROPERTY,9504 Lost Property,5599,,,-79.8782267266509,40.4435168257744
50,174015515,18044054,6,2018-03-07T10:00:00,"5700 Block Bartlett St Pittsburgh, PA 15217",N,Squirrel Hill South,4,THEFT,3921 Theft by Unlawful Taking or Disposition.,1413,,,-79.9249619969335,40.4356473153578
51,174016682,18044061,0,2018-03-02T00:01:00,"6800 Block Lyric St Pittsburgh, PA 15206",N,Homewood West,5,99,9999 9999 - (Misc. Incident): ,1207,,,-79.9033346162789,40.4634715258214
52,174017224,18044086,6,2018-03-03T00:01:00,"2500 Block Mulberry Way Pittsburgh, PA 15222",N,Strip District,2,THEFT,3921 Theft by Unlawful Taking or Disposition.,203,,,-79.9801045045492,40.454204148734
53,174017783,18044088,6,2018-03-06T17:00:00,"800 Block Mt Pleasant Rd Pittsburgh, PA 15214",N,Northview Heights,1,THEFT,3921 Theft by Unlawful Taking or Disposition.,2609,,,-79.9994730748032,40.4757439823247
54,174027838,18044248,10,2018-03-08T23:10:00,"3700 Block Terrace St Pittsburgh, PA 15213",N,North Oakland,4,SIMPLE ASSAULT,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 2701 Simple Assault.",403,,,-79.961242965065,40.4435772334439
55,174031157,18044284,10,2018-03-09T01:16:00,"7300 Block Hamilton Ave Pittsburgh, PA 15208",Y,Homewood South,5,SIMPLE ASSAULT,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury",1303,,,-79.8956442924001,40.4540165201796
56,173003176,18032899,6,2018-02-20T13:05:00,"5600 Block Baum Blvd Pittsburgh, PA 15232",N,Friendship,5,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,807,,,-79.935327377456,40.4577089302116
57,173117406,18034411,99,2018-02-22T12:13:00,"2900 Block Zephyr Ave Pittsburgh, PA 15204",Y,Sheraden,6,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,2018,,,-80.0519555496713,40.4548114425017
58,173298126,18037069,6,2018-02-23T18:15:00,"800 Block Brushton Ave Pittsburgh, PA 15221",N,Homewood South,5,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1304,,,-79.8883784826014,40.4546102856154
59,173407823,18037976,6,2018-02-27T15:10:00,"5300 Block Schenley Dr Pittsburgh, PA 15217",N,Squirrel Hill South,4,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,1413,,,-79.9376867036859,40.4721822817989
60,173412893,18038008,14,2018-02-27T14:30:00,"3600 Block Forbes Ave Pittsburgh, PA 15213",N,Central Oakland,4,CRIM MISCHIEF,3304 Criminal Mischief.,405,,,-79.9574405026274,40.4402644649999
61,173413484,18038018,10,2018-02-27T16:00:00,"2700 Block Glen Mawr St Pittsburgh, PA 15204",N,Sheraden,6,HARRASSMENT,2709 Harassment (Non-Specific),2018,,,-80.0492526269461,40.4532919567424
62,173415931,18038049,6,2018-02-27T08:30:00,"Cologne St Pittsburgh, PA 15203",N,South Side Slopes,3,THEFT FROM AUTO,3934 Theft from Vehicle,1608,,,-79.9691056122924,40.4198370946223
63,173416327,18038050,0,2018-02-27T00:01:00,"2100 Block Liedertafel St Pittsburgh, PA 15212",N,Troy Hill,1,99,9999 9999 - (Misc. Incident): ,2406,,,-79.9797738828703,40.4700454151319
64,173416377,18038058,0,2018-02-27T17:02:00,"900 Block Manton Way Pittsburgh, PA 15210",N,Allentown,3,99,9999 9999 - (Misc. Incident): ,1803,,,-79.9920050124763,40.421272878127
65,173416499,18038062,0,2018-02-27T13:30:00,"3300 Block Francisco St Pittsburgh, PA 15204",N,Sheraden,6,99,9999 9999 - (Misc. Incident): ,2022,,,-80.0613006936604,40.4569549973907
66,173417670,18038085,6,2018-02-26T20:00:00,"1000 Block Woodlow St Pittsburgh, PA 15205",N,Crafton Heights,6,THEFT,3921 Theft by Unlawful Taking or Disposition.,2814,,,-80.0523516888648,40.4459261734107
67,173422575,18038139,27,2018-02-27T17:00:00,"Brookline Blvd & Flatbush Ave Pittsburgh, PA 15226",N,Brookline,6,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1918,,,-80.019968520749,40.3937158628619
68,172623707,18029003,99,2018-02-14T19:30:00,"2700 Block Shady Ave Pittsburgh, PA 15217",N,Squirrel Hill South,4,AIDED CASE,9497 Aided Case,1414,,,-79.9211635002316,40.4457723626192
69,172634581,18029093,10,2018-02-14T23:10:00,"1700 Block Watson St Pittsburgh, PA 15219",Y,Bluff,2,SIMPLE ASSAULT,2701 Simple Assault.,103,,,-79.9826027131886,40.4379465831509
70,172652473,18029257,4,2018-02-15T06:21:00,"300 Block E Agnew Ave Pittsburgh, PA 15210",Y,Mount Washington,3,AGG-ASSAULT,2702 Aggravated Assault.,2902,,,-79.982359630961,40.3963456083349
71,172684971,18028945,14,2018-02-14T17:00:00,"1500 Block Rockland Ave Pittsburgh, PA 15216",N,Beechview,6,CRIM MISCHIEF,3304 Criminal Mischief.,1916,,,-80.0203644957182,40.4120302343215
72,173668354,18040622,26,2018-03-03T07:00:00,"Comer St Pittsburgh, PA 15207",Y,Hays,4,UNAUTHORIZED USE VEHICLE,3928 Unauthorized Use of Automobile and Other Vehicles.,3101,,,-79.9351648410078,40.3803759713736
73,173668673,18039924,21,2018-03-02T09:55:00,"Kilday Way & Pressley St Pittsburgh, PA 15212",N,East Allegheny,1,DUI - DRUG - IMPAIRED ABILITY,3802(d)(2) DUI - Drug - Impaired Ability / 3714 Careless Driving,2304,,,-79.9995481537243,40.4519186148757
74,173669428,18040666,18,2018-03-03T10:20:00,"2600 Block Brackenridge St Pittsburgh, PA 15219",Y,Terrace Village,2,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance / 5123 Contraband. / 9501 Bench Warrant,510,,,-79.9674149964657,40.4458919780529
75,173671991,18040639,27,2018-03-03T08:45:00,"800 Block Chislett St Pittsburgh, PA 15206",N,Morningside,5,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop. / 9094 Recovered Stolen Vehicle (OUTSIDE CITY),1014,,,-79.9306654248007,40.473251485996
76,173672057,18040710,6,2018-03-03T11:20:00,"Josephine St & S 21st St Pittsburgh, PA 15203",N,South Side Slopes,3,THEFT FROM AUTO,3934 Theft from Vehicle / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,1608,,,-79.976652637134,40.4249231795093
77,173675564,18040752,0,2018-03-03T13:10:00,"PPG Pl Pittsburgh, PA 15222",N,Central Business District,2,99,9999 9999 - (Misc. Incident): ,201,,,-80.0030050128573,40.4400925716507
78,173676166,18040761,14,2018-03-03T13:45:00,"2200 Block Wilner Dr Pittsburgh, PA 15221",N,East Hills,5,CRIM MISCHIEF,3304 Criminal Mischief. / 9123 Miscellaneous Fire Other Investigation to Continue,1306,,,-79.8668296578813,40.4533875768642
79,173677011,18040786,8,2018-03-03T14:10:00,"7700 Block Hamilton Ave Pittsburgh, PA 15221",N,Homewood South,5,RECKLESS BURNING OR EXPLODING,3301(d) Reckless Burning or Exploding / 3304 Criminal Mischief.,1304,,,-79.8890662937245,40.4525162228136
80,173681113,18040856,27,2018-03-03T16:30:00,"1500 Block Davis Ave Pittsburgh, PA 15212",N,Brighton Heights,1,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2701,,,-80.0379220440389,40.4810623541763
81,172634975,18029092,10,2018-02-14T22:54:00,"400 Block Sapphire Way Pittsburgh, PA 15224",Y,Bloomfield,5,SIMPLE ASSAULT,2701 Simple Assault.,802,,,-79.9512777019424,40.4611087503716
82,172637502,18029161,5,2018-02-14T10:00:00,"2000 Block Brownsville Rd Pittsburgh, PA 15210",N,Carrick,3,BURGLARY,3502 Burglary.,2901,,,-79.9868644204953,40.3949579854237
83,172638383,18029184,99,2018-02-15T02:36:00,"1000 Block Woods Run Ave Pittsburgh, PA 15212",N,Marshall-Shadeland,1,AIDED CASE,9497 Aided Case,2715,,,-80.0275599752734,40.478938037946
84,-3093000004,18029284,99,2018-02-15T07:56:00,"5700 Block Walnut St Pittsburgh, PA 15232",N,Shadyside,4,FALSE BURGLAR ALARM,9488 False  Burglar Alarm,705,,,-79.930925096466,40.4520193316336
85,172697115,18029631,0,2018-02-15T16:30:00,"1300 Block W North Ave Pittsburgh, PA 15233",N,Manchester,1,99,601.16 Public Urination And Defecation,2107,,,-80.0243304959069,40.4526669250067
86,172713651,18029825,6,2018-02-15T23:14:00,"1900 Block Waite St Pittsburgh, PA 15210",N,Arlington,3,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1603,,,-79.9787376778543,40.4171243708732
87,172715444,18029895,10,2018-02-16T01:32:00,"2200 Block Bedford Ave Pittsburgh, PA 15219",Y,Middle Hill,2,SIMPLE ASSAULT,2701 Simple Assault. / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION,501,,,-79.9780977507415,40.4481215499966
88,172716324,18029890,10,2018-02-16T01:46:00,"4000 Block Haldane St Pittsburgh, PA 15207",Y,Greenfield,4,SIMPLE ASSAULT,2701 Simple Assault.,1516,,,-79.9432815517565,40.425318965268
89,174077414,18044713,0,2018-03-09T18:00:00,"600 Block Smithfield St Pittsburgh, PA 15222",N,Central Business District,2,99,9998 Overdose Other,201,,,-79.9974055086456,40.44152525429
90,174077951,18044691,99,2018-03-09T17:35:00,"5500 Block Stanton Ave Pittsburgh, PA 15206",Y,East Liberty,5,AIDED CASE,9497 Aided Case,1113,,,-79.9283382011403,40.4722518864007
91,174081473,18044733,11,2018-03-09T19:44:00,"800 Block Mellon St Pittsburgh, PA 15206",N,Highland Park,5,THEFT OF SERVICES,"3926(a)(1) Theft of Services; Cable, Gas, Taxi, Bill, Tab, etc. / 6501(a)(1) Scattering Rubbish; Any waste, dangerous or detrimental substance upon public property or waters",1102,,,-79.9248789973421,40.4710498034131
92,174083538,18044784,5,2018-03-09T18:30:00,"600 Block Bellefonte St Pittsburgh, PA 15232",N,Shadyside,4,BURGLARY,3502 Burglary.,703,,,-79.9351371059422,40.4534847484942
93,174086732,18044876,99,2018-03-09T18:30:00,"500 Block Amberson Ave Pittsburgh, PA 15232",N,Shadyside,4,MISSING PERSONS (18+),9490 Missing Persons (18 and Over),709,,,-79.9415317949353,40.452178567997
94,174093654,18054124,0,2018-03-10T09:00:00,"500 Block Crane Ave Pittsburgh, PA 15216",Y,Beechview,6,99,2709(a)(6) Harassment Communicates Repeatedly at Extreme Hours,1916,,,-80.0182334751887,40.4169886053058
95,174099733,18045275,0,2018-03-10T14:40:00,"7300 Block Hamilton Ave Pittsburgh, PA 15208",Y,Homewood South,5,99,3301 Arson ,1303,,,-79.8956442924001,40.4540165201796
96,174111892,18045688,0,2018-03-11T04:25:00,"Stanton Ave & Oranmore St Pittsburgh, PA 15201",Y,Stanton Heights,5,DUI - GENERAL IMPAIRMENT,3714 Careless Driving / 3802(a)(1) DUI - General Impairment,1005,,,-79.9347769665832,40.4805884691283
97,174175565,18046454,99,2018-03-12T13:45:00,"3500 Block Chartiers Ave Pittsburgh, PA 15204",N,Sheraden,6,MISSING PERSONS (18+),9490 Missing Persons (18 and Over),2022,,,-80.0671378044653,40.457557542102
98,172636775,18029103,99,2018-02-15T00:06:00,"2300 Block Candace St Pittsburgh, PA 15216",Y,Beechview,6,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,1920,,,-80.0321467014957,40.4025319127848
99,172639639,18029126,99,2018-02-15T00:53:00,"600 Block Smithfield St Pittsburgh, PA 15222",N,Central Business District,2,AIDED CASE,9497 Aided Case,201,,,-79.9974055086456,40.44152525429
100,172659356,18029382,17,2018-02-15T10:56:00,Zone 1,N,,1,SEXUAL ASSAULT,3124.1 Sexual Assault,,,,,
101,172668814,18029436,99,2018-02-15T12:40:00,"1600 Block Bedford Ave Pittsburgh, PA 15219",N,Crawford-Roberts,2,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),305,,,-79.9872997364052,40.4445032529321
102,173707722,18041469,99,2018-03-04T16:00:00,"300 Block Spencer Ave Pittsburgh, PA 15227",Y,Carrick,3,AIDED CASE,9497 Aided Case,2904,,,-79.9762067244687,40.3902141207496
103,173709368,18041555,0,2018-03-04T18:25:00,"3500 Block Webster Ave Pittsburgh, PA 15219",N,Upper Hill,2,99,9093 Indirect Criminal Contempt,506,,,-79.9584162990566,40.4568019571651
104,173714172,18041578,20,2018-03-04T19:54:00,"Noblestown Rd & Weaver Street Pittsburgh, PA 15220",Y,Elliott,6,ENDANGER WELFARE OF CHILDREN,4304(a)(1) Endangering Welfare of Children. / 3802(c) DUI - Highest Rate of Alcohol - BAC >= .16% / 1786 Required Financial Responsibility. / 1543 Driving While Operating Privilege is Suspended or Revoked. / 1301 Registration and Certificate of Title Required. / 3802(a)(1) DUI - General Impairment,2020,,,-80.0396027490316,40.4370262801035
105,173716553,18041672,14,2018-03-04T23:00:00,"1600 Block Brownsville Rd Pittsburgh, PA 15210",Y,Carrick,3,CRIM MISCHIEF,3304 Criminal Mischief. / 2709(a)(5) Harassment Communicates Repeatedly in Anonymous Manner,2902,,,-79.9891468675785,40.3997982824868
106,173718978,18041677,5,2018-03-04T23:53:00,"4700 Block Centre Ave Pittsburgh, PA 15213",N,Bloomfield,5,BURGLARY,3502 Burglary.,804,,,-79.949277413781,40.4525512540161
107,173724632,18041797,6,2018-03-03T10:40:00,"Bedford Ave & Watt Ln Pittsburgh, PA 15219",N,Bedford Dwellings,2,THEFT,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake.",509,,,-79.9722433745368,40.4508137262887
108,173729711,18041818,6,2018-03-05T08:00:00,"4400 Block Valley View St Pittsburgh, PA 15214",N,Summer Hill,1,THEFT FROM AUTO,3934 Theft from Vehicle,2612,,,-80.0111921066611,40.496775570821
109,173731024,18041827,6,2018-03-05T01:37:00,"800 Block Saw Mill Run Blvd Pittsburgh, PA 15226",N,Bon Air,3,THEFT,3921 Theft by Unlawful Taking or Disposition.,1806,,,-79.9959409343079,40.3818972229893
110,173740613,18041890,6,2018-03-03T15:21:00,"500 Block Edmond St Pittsburgh, PA 15224",N,Bloomfield,5,THEFT,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake.",802,,,-79.9487749120459,40.460478996734
111,173747807,18041956,0,2018-03-04T17:00:00,"1200 Block Federal St Pittsburgh, PA 15212",N,Central North Side,1,99,3929.1 Library Theft,2206,,,-80.0064886442019,40.4560263971405
112,173751618,18041987,6,2018-03-04T01:00:00,"100 Block 9th St Pittsburgh, PA 15222",N,Central Business District,2,THEFT,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake. / 4106 Access Device Fraud",201,,,-79.9990500022084,40.4450999872294
113,173752955,18041995,0,2018-03-05T11:00:00,"1200 Block Dagmar Ave Pittsburgh, PA 15216",N,Beechview,6,99,9999 9999 - (Misc. Incident): Scam Phone Call,1916,,,-80.023442389534,40.4167640704725
114,173754158,18042015,27,2018-03-05T14:15:00,"S 27th St & Sidney St Pittsburgh, PA 15203",N,South Side Flats,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1609,,,-79.9662250538487,40.4278276786321
115,172680153,18029518,6,2018-02-15T13:30:00,"1200 Block Commercial St Pittsburgh, PA 15218",N,Swisshelm Park,4,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,1411,,,-79.9056798975997,40.4253746419202
116,172692520,18029620,10,2018-02-15T17:30:00,"1100 Block Cox Pl Pittsburgh, PA 15207",N,Lincoln Place,4,TERRORISTIC THREATS,2706 Terroristic Threats.,3102,,,-79.9180183016026,40.3704122462236
117,172696308,18029257,0,2018-02-15T06:21:00,"1200 Block Western  Ave Pittsburgh, PA 15233",Y,Mount Washington,3,99,627.02(b)(i) Possessing a small amount of marijuana,2902,,,-80.0219651402612,40.451209746298
118,172697683,18029595,10,2018-02-15T17:05:00,"7300 Block Somerset St Pittsburgh, PA 15206",Y,Lincoln-Lemington-Belmar,5,SIMPLE ASSAULT,2701 Simple Assault.,1202,,,-79.8913605251824,40.4676060916912
