id,title,authors,ISBN13,pages,publisher,publishedYear,publishedMonth,publishedDay
21,Advanced Java Game Programming,David Wallace Croft,9781590591239,558,Apress,2004,3,30
22,Data Structures and Abstractions with Java,"Frank Carrano,Walter J. Savitch",9780130174895,843,Prentice Hall,2002,12,17
23,Java Servlets by Example,Alan R. Williamson,9781884777660,548,Manning Publications,1999,7,1
24,Computing Concepts with Java 2 Essentials,Cay S. Horstmann,9780471346098,784,Wiley,1999,9,6
25,Professional Java JDK 6 Edition,"W. Clay Richardson,Donald Avondolio,Mark W. Mitchell,Jeff Scanlon,Scot Schrager",9780471777106,741,Wrox Press,2006,12,1
26,Understanding Object-Oriented Programming with Java: Updated Edition (New Java 2 Coverage),Timothy Budd,9780201612738,420,Pearson,1999,8,13
27,Java Web Services in a Nutshell,Kim Topley,9780596003999,672,O'Reilly Media,2003,6,16
28,Next Generation Java Testing: TestNG and Advanced Concepts,"Cedric Beust,Hani Suleiman",9780321503107,482,Addison-Wesley Professional,2007,11,1
29,Java in Practice: Design Styles & Idioms for Effective Java,"Nigel Warren,Phil Bishop",9780201360653,209,Addison Wesley Longman,1999,1,1
30,Beginning Java,"Ivor Horton,Chris Ullman,Timothy Briggs,Simon Gilks,Anthea Elston,Ron Phillips,William Bilow,Kerry Hammil",9781861000279,1039,Apress,1997,6,1
31,Java Precisely,Peter Sestoft,9780262692762,118,MIT Press (MA),2002,6,14
32,Terra Java,João Lopes Marques,,270,Oficina do Livro,2008,10,
33,A Taste Of Java,L.J. Wilson,9781605850634,273,Gifted Pen Publishing,2008,,
34,Java 2 For Dummies,Barry Burd,9780764568589,378,For Dummies,2004,8,27
35,The Definitive Guide to Java Swing,John Zukowski,9781590594476,899,Apress,2000,12,1
36,"The History of Java, Volume 2",Thomas Stamford Raffles,9781146242493,528,Nabu Press,2010,3,1
37,Learn to Program with Java,John Smiley,9780072131895,700,McGraw-Hill/Osborne Media,2001,11,2
38,Java 7 for Absolute Beginners,Jay Bryant,9781430236863,320,Apress,2011,12,23
39,Java Distributed Computing,Jim Farley,9781565922068,386,O'Reilly Media,1998,1,8
40,The Minimum You Need to Know about Java on OpenVMS,Roland Hughes,9780977086610,352,Logikal Solutions,2006,7,15
41,Programming for the Java¿ Virtual Machine,Joshua Engel,9780201309720,512,Addison-Wesley Professional,1999,7,2
42,"Memebuat Aplikasi Database Dengan Java Java, MySQL, Dan NetBeans",Bunafit Nugroho,,416,Elex Media Komputindo,2010,4,28
43,"Agile Java Development with Spring, Hibernate and Eclipse",Anil Hemrajani,9780672328961,334,Sams,2006,5,19
44,The Java Way: An Introduction To Programming In Java,"Sparke, Gerard",,787,Gerard Sparke,2011,,
45,JAVA / J2EE Interview Questions You'll Most Likely Be Asked,Vibrant Publishers,,124,Vibrant Publishers,2010,11,1
46,Java 8 Preview Sampler,"Herbert Schildt,Maurice Naftalin,Hendrik Ebbers,J.F. DiMarzio",,160,McGraw-Hill Osborne Media,2014,4,8
47,Core Java for Beginners,"Sharanam Shah,Vaishali Shah",9781619030312,890,Arizona Business Alliance,2010,11,1
48,Escape from Java and Other Tales of Danger,Ruskin Bond,9788184752878,184,Puffin Books,2010,7,31
49,Understanding Object-Oriented Programming with Java,Timothy Budd,9780201308815,367,Addison Wesley Publishing Company,1998,1,1
50,"Java: Learn Java Programming With Ultimate Zero to Hero Programming Crash Course for Beginners (Java, Java Programming Language, Java Coding, Java for ... Java Programming for Beginners, JavaScript)",Paul Madoff,,75,,2015,5,9
51,Data Structures in Java,Thomas A. Standish,9780201305647,555,Addison Wesley Publishing Company,1997,8,12
52,Java Programming for Dummies: With CD,"Donald J. Koosis,David Koosis,David S. Koosis",9780764501418,384,For Dummies,1997,7,1
53,Hacking Exposed J2ee & Java: Developing Secure Web Applications with Java Technology,"Brian Buege,Paul Gier",9780072225655,426,McGraw-Hill/Osborne Media,2002,9,24
54,The Java Tutorial: A Short Course on the Basics,Kathy Walrath,9780321334206,672,Addison-Wesley Professional,2006,12,1
55,How to Program with Java,Trevor Page,,246,,2012,10,11
56,Applied Java Patterns,Stephen A. Stelting,9780130935380,450,Prentice Hall PTR,2002,1,5
57,Java Thread Programming: The Authoritative Solution,Paul Hyde,9780672315855,510,Sams,1999,8,30
58,Java: How to Program,Deitel,,1496,"Pearson Education, Inc.",,,
59,Object-Oriented Programming and Java,Danny Poo,9781846289620,322,Springer,2007,10,12
60,Beginning Java EE 5,"James L.  Weaver,Kevin Mukhar,Chris Zelenak",9781590594704,641,Apress,2007,10,29
61,The Java Developer's Guide to Eclipse,"Jim D'Anjou,Pat McCarthy,John Kellerman,Scott Fairbrother,Dan Kehn,Dave Thomson",9780321305022,1136,Addison-Wesley Professional,2004,10,1
62,Not Just Java,Peter van der Linden,9780138646387,300,Prentice Hall,1997,2,1
63,Bluetooth for Java,Bruce Hopkins,9781590590782,,Apress,2003,4,1
64,Programming With Java!,Tim Ritchey,9781562055332,366,New Riders Publishing,1995,10,1
65,Java Gently,J.M. Bishop,9780201342970,508,Peachpit Press,1998,6,1
66,Client/Server Programming With Java And Corba,Robert Orfali,9780471245780,,John Wiley & Sons,,,
67,Java/J2EE Job Interview Companion,"Arulkumaran Kumaraswamipillai,Sivayini Arulkumaran",,356,lulu.com,2008,1,22
68,Object Oriented Programming with Java: Essentials and Applications,"Rajkumar Buyya,S. Thamarai Selvi,Xingchen Chu",9780070678835,676,Tata McGraw Hill Education Private Limited,2009,6,26
69,Java I/O,Elliote Rusty Harold,9780596527501,700,O'Reilly Media,2006,5,26
70,"Java in a Time of Revolution: Occupation and Resistance, 1944-1946",Benedict Anderson,9789793780146,516,Equinox Publishing (Indonesia),2005,12,1
71,Gentry: Social Change in Java: The Tale of a Family,"Umar Kayam,Vladislav Zhukov",9780987463722,270,Vladislav V Zhukov,2014,12,28
72,"Java Network Programming, 2nd Edition","Merlin Hughes,Conrad Hughes,Maria Winslow,Michael Shoffner,Derek Hamner",9781884777493,830,Manning Publications,1999,5,1
73,SOA Using Java Web Services,Mark D. Hansen,9780130449689,574,Prentice Hall PTR,2007,5,1
74,Software Architecture Design Patterns in Java,Partha Kuchana,9780849321429,492,Auerbach Publications,2004,4,27
75,The Mountain Flora of Java,C.G.G.J. van Steenis,9789004153479,90,Brill Academic Publishers,2006,11,14
76,Professional Java Programming,Brett Spell,9781861003829,1111,Wrox Press,2000,12,1
77,The Ecology of Java & Bali,"Anthony J. Whitten,Suraya Afiff,Roehayat Emon Soeriaatmadja,R. S. Soeriaatmadja",9789625930725,969,Periplus Editions (HK) ltd.,1996,,
78,Java Design Pattern Essentials,Tony Bevis,9780956575807,248,Ability First Limited,2010,6,18
79,Building Java Programs: A Back to Basics Approach,Stuart Reges,9780321382832,896,Addison Wesley,2007,2,25
80,Java Script,Gaku Ueda,9784274061981,454,Ōmusha,1997,,
81,Java For Testers,Alan        Richardson,,300,,2013,,
82,Beginning Java 7,Jeff Friesen,9781430239093,920,Apress,2011,11,16
83,Concurrent and Distributed Computing in Java,Vijay K. Garg,9780471432302,336,Wiley-IEEE Press,2004,2,4
84,Java Style,Peter Schoppert,9789625932323,,Periplus Editions,1998,3,1
85,Pro JPA 2: Mastering the Java Persistence API,"Mike Keith,Merrick Schincariol",9781430219569,503,Apress,2009,11,1
86,Head First Java Code Magnets,"O'Reilly Media, Inc,O'Reilly Media, Inc",9780596154073,10,O'Reilly Media,2008,9,1
87,Alamat ng Duhat (The Legend of the Java Plum),"Segundo D. Matias Jr.,Rovi Jesher R. Salegumba",,32,"Lampara Publishing House, Inc.",2012,,
88,"Functional Programming for Java Developers: Tools for Better Concurrency, Abstraction, and Agility",Dean Wampler,9781449311032,90,O'Reilly Media,2011,8,2
89,Java 2D Graphics,Jonathan Knudsen,9781565924840,368,O'Reilly Media,1999,5,12
90,Big Java: Early Objects,Cay S. Horstmann,,1072,Wiley,2013,1,1
91,Java Internationalization,"Andy Deitsch,Andrew Deitsch,Andy Deitsch",9780596000196,464,O'Reilly Media,2001,3,22
92,My Journey from Paris to Java,Honoré de Balzac,,64,Editions Didier Millet Pte Ltd,2010,1,
93,Sams Teach Yourself Java 6 in 21 Days,"Rogers Cadenhead,Laura Lemay",9780672329432,720,Sams,2007,5,25
94,Java 5.0 Tiger: A Developer's Notebook,Brett McLaughlin,9780596007386,202,O'Reilly Media,2004,7,2
95,Practical Java Programming Language Guide,Pankaj Jalote,9780201616460,320,Addison-Wesley Professional,2000,2,11
96,Arok of Java,"Pramoedya Ananta Toer,Max Lane",9789810580452,387,Horizon Books,2007,,
97,Java 2 Complete,Sybex,9780782124682,1000,Sybex,1999,3,1
98,Java Exception Handling,Jakob Jenkov,,174,Jenkov Aps,2013,2,14
99,The Java(tm) Virtual Machine Specification,"Tim Lindholm,Frank Yellin",9780201432947,496,Addison-Wesley Professional,1999,4,24
100,"Data Structures, Algorithms, and Applications in Java",Sartaj Sahni,9780072450538,833,McGraw-Hill Companies,1999,9,30
101,Spoorwegstations op Java,Michiel van Ballegoijen de Jong,9789067073189,240,,1993,,
102,La Rose de Java,Joseph Kessel,9782070361748,214,Folio,1972,8,23
103,Core Java 1.1: Fundamentals [With *],"Cay S. Horstmann,Gary Cornell",9780137669578,600,Prentice Hall,1997,8,1
104,Introduction to Java Programming [With Access Code],Y. Daniel Liang,9780132130790,731,Prentice Hall,2010,1,1
105,Java Programming: From the Ground Up,"Ralph Bravaco,Shai Simonson",9780073523354,1085,McGraw-Hill Higher Education,2009,1,22
106,Big Java: For Java 7 And 8 (For Java 7 & 8),Cay S. Horstmann,9780470553091,1110,John Wiley & Sons,2010,2,1
107,Walking in the Supernatural: Another Cup of Spiritual Java,"Bill Johnson,Beni Johnson,Eric Johnson,Danny Silk,Kevin Dedmon,Banning Liebscher,Judy Franklin,Chris Overstreet,Paul Manwaring",9780768440775,208,Destiny Image,2012,1,17
108,Introduction To Java Programming,K. Somasundaram,,326,Jaico Publishing House,2013,,
109,Software Engineering with Java,Stephen R. Schach,9780256241679,618,Irwin Professional Publishing,1997,1,1
110,Java Bibliography,O'Reilly Media,,86,O'Reilly Media,2011,7,
111,Java/J2ee Job Interview Companion - 400+ Questions & Answers,Arulkumaran Kumaraswamipillai,9781411668249,358,Lulu.com,2009,11,17
112,The Lost Temple of Java,Phil Grabsky,9781841880587,144,Phoenix Illustrated,2000,12,31
113,Java 7: A Beginner's Tutorial,Budi Kurniawan,9780980839616,716,BrainySoftware,2011,10,1
114,Beginning Java: A Safari Tutorial,Safari Content Team,,18,Safari Books Online,2013,8,8
115,Continuous Enterprise Development in Java,"Andrew Lee Rubinger,Dan Allen,Aslak Knutsen",9781449328290,241,O'Reilly Media,2014,3,24
116,Restful Java Web Services,Jose Sandoval,9781847196460,256,Packt Publishing,2009,11,15
117,Using JRuby: Bringing Ruby to Java,"Charles O. Nutter,Thomas Enebo,Nick Sieger,Ola Bini,Ian Dees",,300,"The Pragmatic Programmers, LLC.",2010,11,
118,Data Structures and Problem Solving Using Java,Mark Allen Weiss,9780201549911,779,Addison Wesley Publishing Company,1997,10,1
119,Java Demystified,"Jim Keogh,Wendy Rinaldi",9780072254549,333,McGraw-Hill Companies,2004,5,20
120,Java Nights,Karen van der Zee,9780373113507,189,Harlequin Books,,,
121,Java and Soap,Robert Englander,9780596001759,278,O'Reilly Media,2002,5,27
122,Java I/O,Elliotte Rusty Harold,9781565924857,600,O'Reilly Media,1999,3,23
123,Schaum's Outline of Data Structures with Java,John R.  Hubbard,9780071476980,333,McGraw-Hill Companies,2007,7,1
124,Java Threads (Java Series (O'Reilly & Associates).),"Scott Oaks,Henry Wong",9781565922167,268,O'Reilly,1997,2,8
125,"Object-Oriented Software Engineering: Using UML, Patterns and Java","Bernd Bruegge,Allen H. Dutoit",9780130471109,762,Prentice Hall,2003,9,25
126,Murach's Java SE 6,"Joel Murach,Andrea Steelman",9781890774424,810,Mike Murach & Associates,2007,4,1
127,Wireless Java Programming with Java 2,Yu Feng,9780672321351,512,Sams,2001,5,21
128,"Java: Quick & Easy HTML Programming For Beginners in 40 Pages or Less! ( Java, Java 8, Java For Beginners): Html, Programming, Development, CSS, PHP, Java ... 7, Javascript, (Java Crash Course Book 1)","AZ Elite Publishing,Java Programming,JavaScript,Java",,36,,2014,10,4
129,Java Enterprise Best Practices,"O'Reilly Java Authors,O'Reilly Java Authors",9780596003845,292,O'Reilly Media,2002,12,25
130,Introduction to Neural Networks with Java,Jeff Heaton,9780977320608,380,"Heaton Research, Inc.",2005,11,25
131,From Java to Ruby,Bruce Tate,9780976694090,160,Pragmatic Bookshelf,2006,6,28
132,"Java in 24 Hours, Sams Teach Yourself (Covering Java 8)",Rogers Cadenhead,9780672337024,448,Sams,2014,5,20
133,A Programmer's Guide to Java SCJP Certification: A Comprehensive Primer,"Khalid Mughal,Rolf Rasmussen",9780321556059,1039,Addison-Wesley Professional,2008,11,1
134,Test Driven: Practical TDD and Acceptance TDD for Java Developers,Lasse Koskela,9781932394856,513,Manning Publications,2007,10,19
135,Java Programming for Android Developers for Dummies,Barry Burd,9781118504383,434,For Dummies,2013,11,4
136,Batik: Fabled Cloth of Java,"Inger McCabe Elliott,Brian Brake",9780794602437,240,Periplus Editions,2004,5,15
137,"Head First Design Patterns, 10th Anniversary Edition (Covers Java 8)","Eric Freeman,Elisabeth Robson,Bert Bates,Kathy Sierra",9789352132775,696,Shroff/O'Reilly,,,
138,Rails for Java Developers,"Stuart Halloway,Justin Gehtland",9780977616695,311,Pragmatic Bookshelf,2007,2,1
139,Professional Java Server Prog Ramming J2ee Edition,"Subrahmanyam Allamaraju,Daniel O'Connor,Andrew Longshaw",9781861004659,1633,Wrox Press,2000,9,27
140,Java Programming Interviews Exposed,Noel Markham,9781118722862,368,Wrox Press,2014,2,17
141,Big Java 5th Edition for Java 9 and 10,Cay S. Horstmann,9781118431115,1104,John Wiley & Sons,2013,1,22
142,Practical API Design: Confessions of a Java Framework Architect,Jaroslav Tulach,9781430209737,387,Apress,2008,7,1
143,Java Modeling in Color with UML: Enterprise Components and Process (Java Series),"Peter Coad,Eric Lefebvre,Jeff de Luca",9780130115102,221,Prentice Hall,1999,6,15
144,Data Structures: Abstraction and Design Using Java,"Elliot B. Koffman,Paul A.T. Wolfgang",9780470128701,803,John Wiley & Sons,2010,1,26
145,JAVA PROGRAMMING Vol.1,วีระศักดิ์ ซึงถาวร,,,,,,
146,Java Message Service,"David A. Chappell,David Chappell",9780596000684,240,O'Reilly Media,2000,12,11
147,Data Structures Using Java,"Moshe J. Augenstein,Aaron M. Tenenbaum,Yedidyah Langsam",9780130477217,670,Pearson,2003,3,15
148,Fundamentals of Programming Using Java,Edward Currie,9781844804511,264,Thomson,2006,4,1
149,Gardens in Java,"Denys Lombard,John N. Miksic",,86,Ecole Francaise d'Extreme-Orient,2010,12,
150,"A Field Guide to the Birds of Borneo, Sumatra, Java, and Bali: The Greater Sunda Islands","John MacKinnon,Karen Phillipps,Paul Andrew,Frank Rozendaal",9780198540342,692,"Oxford University Press, USA",1993,8,26
151,A Shadow Falls: In The Heart Of Java,Andrew Beatty,9780571235865,318,Faber & Faber,2009,5,1
152,Just Java 2,Peter van der Linden,9780131482111,848,Prentice Hall,2004,7,1
153,Java 2: A Beginner's Guide,Herbert Schildt,9780072127423,570,McGraw-Hill/Osborne Media,2000,11,21
154,Java Programming [With CDROM],Joyce Farrell,9780324599510,881,Course Technology,2009,1,29
155,Java Development with Ant,"Erik Hatcher,Matthew Robinson,Steve Loughran,Sam Ruby,Pavel Vorobiev,Inventor of Java",9781930110588,672,Manning Publications,2002,8,1
156,Murach's Java Programming,Joel Murach,9781890774653,836,Mike Murach & Associates,2011,11,1
157,"Java Precisely, 2nd Edition",Peter Sestoft,9780262693257,168,The MIT Press,2005,6,28
158,"Java, Java, Java, Object-Oriented Problem Solving (3rd Edition)","Ralph Morelli,Ralph Walde",9780131474345,880,Prentice Hall,2006,1,1
159,Inside the Java Virtual Machine [With CDROM],Bill Venners,9780079132482,579,McGraw-Hill Companies,1997,12,28
160,Java Design Patterns: A Tutorial,James W. Cooper,9780201485394,352,Addison-Wesley Professional,2000,2,13
161,Java Extreme Programming Cookbook,"Eric M. Burke,Brian M. Coyner",9780596003876,288,O'Reilly Media,2003,3,18
162,Teach Yourself Java,Joe O'Neil,9780078825705,707,McGraw-Hill Education,1998,10,22
163,Java 7 Concurrency Cookbook,Javier Fernández,9781849687881,386,packt publishing,2012,10,
164,Java Phrasebook,Timothy R. Fisher,9780672329074,211,Sams,2006,11,16
165,Soa with Java,"Thomas Erl,Satadru Roy,Phillip Thomas,Andre Tost,Khanderao Kand,Raj Balasubramanian",9780132435895,848,Prentice Hall,2013,3,28
166,Teach Yourself Java In 21 Days,"Laura Lemay,Charles L. Perkins",9781575210308,,Sams,1996,2,1
167,Java RMI,William Grosso,9781565924529,576,O'Reilly Media,2001,10,29
168,C++ for Java Programmers,Mark Allen Weiss,9780139194245,304,Pearson,2003,11,7
169,Java Servlet & JSP Cookbook,Bruce W. Perry,9780596005726,748,O'Reilly Media,2004,1,28
170,Developing Games in Java,David Brackeen,752063324776,1008,New Riders Publishing,2003,8,21
171,Rimbaud in Java: The Lost Voyage,Jamie James,9789814260824,128,Editions Didier Millet,2011,10,16
172,Java Programming: Advanced Topics,Joe Wigglesworth,9780619159689,968,Course Technology,2003,9,3
173,Data Structures and Algorithms in Java,Adam Drozdek,9780534492526,768,Cengage Learning,2004,9,24
174,Java Black Book: The Java Book Programmers Turn To First,Steven Holzner,9781576105313,1200,Coriolis Group Books,2000,1,10
175,Groovy Recipes: Greasing the Wheels of Java,"Scott Davis,Venkat Subramaniam",9780978739294,250,Pragmatic Bookshelf,2008,2,25
176,Java Programming,Joyce Farrell,9781285081953,1084,Course Technology,2013,1,31
177,Beginning Cryptography with Java,David Hook,9780764596339,448,Wrox Press,2005,8,19
178,"The History of Java, Volume 1",Thomas Stamford Raffles,9781149013151,596,Nabu Press,2010,4,20
179,Java Power Tools,John  Smart,9780596527938,912,O'Reilly Media,2008,4,29
180,Step By Step Teknik Hacking + DVD,Java Creativity,,308,Elex Media Komputindo,2014,9,17
181,House of Java,Mark     Murphy,9781561633289,96,NBM Publishing,2002,8,1
182,Java Reflection in Action,"Ira R. Forman,Nate Forman",9781932394184,273,Manning Publications,2004,10,1
183,Java Programming: From Problem Analysis To Program Design,D.S. Malik,9781423901358,1055,Cengage Learning,2007,2,27
184,Java 8 Lambdas: Pragmatic Functional Programming,Richard Warburton,9781449370770,182,O'Reilly Media,2014,4,22
185,Java: Learn Java Programming FAST!,Sean Truman,,106,,2014,11,17
186,Java Web Services,"David A. Chappell,Tyler Jewell",9780596002695,278,O'Reilly Media,2002,3,25
187,Effective Enterprise Java,"Ted Neward,Dion Almaer",9780321130006,496,Addison-Wesley Professional,2004,9,5
188,Introduction to Algorithms and Java CD-ROM,"Thomas H. Cormen,Ronald L. Rivest,Charles E. Leiserson,Clifford Stein",9780072970548,1056,McGraw-Hill Science/Engineering/Math,2003,12,16
189,On Becoming a Dinosaur: A Typesetter Speaks,Java Davis,,,Java Davis,,,
190,Java with the Judges,Sandra L. Glahn,9780899572215,144,AMG Publishers,2006,3,24
191,Professional Java Development with the Spring Framework,"Rod  Johnson,Jürgen Höller,Alef Arendsen,Thomas Risberg,Colin Sampaleanu",9780764574832,644,Wiley Publishing,2005,7,1
192,Java SOA Cookbook,Eben Hewitt,9780596520724,742,O'Reilly Media,2009,4,2
193,"Black Sun, Red Moon: A Novel of Java",Rory Marron,9780957630529,338,Seventh Citadel,2013,8,15
194,Java,Periplus Editors,9789625932446,412,Periplus Editions,2001,4,20
195,Java Message Service,"Mark Richards,Richard Monson-Haefel,David Chappell,David A. Chappell",9780596522049,330,O'Reilly Media,2009,6,4
196,Data Structures and Algorithms Made Easy in Java: 700 Data Structure and Algorithmic Puzzles,Narasimha Karumanchi,9781466304161,440,Createspace Independent Publishing Platform,2011,9,14
197,Java Swing,"Robert Eckstein,Marc Loy,Dave Wood",9781565924550,1255,O'Reilly Media,1998,9,11
198,Java Programming,"Poornachandra Sarang,Sarang Poornachandra",9780071633604,642,McGraw-Hill/Osborne Media,2012,2,14
199,Beginning Java EE 7,Antonio Goncalves,,603,Apress,2013,6,26
200,Java: An Introduction to Computer Science and Programming,Walter J. Savitch,9780131013780,976,Prentice Hall,2003,4,7
201,An Introduction to Object-Oriented Programming with Java,C. Thomas Wu,9780072396843,863,McGraw-Hill Companies,2000,1,1
202,Java Network Programming,Elliotte Rusty Harold,9781565922273,442,O'Reilly Media,1997,1,11
203,Java Enterprise in a Nutshell,"Jim Farley,William Crawford,Prakash Malani,Justin Gehtland,John G. Norman",9780596101428,896,O'Reilly Media,2005,12,2
204,Java Servlet Programming,Jason Hunter,9781565923911,526,O'Reilly Media,1998,11,11
205,Play for Java,"Nicolas Leroux,Sietse de Kaper",9781617290909,325,Manning Publications,2014,1,28
206,Making Java Groovy,Kenneth Kousen,9781935182948,368,Manning,,,
207,"Professional Java Server Programming J2ee, 1.3 Edition","Subrahmanyam Allaramaju,Subrahmanyam Allaramaju",9781861005373,1300,Wrox Press,2001,9,27
208,Java Joe,Joe Setiawan,,242,Bentang Pustaka,2008,,
209,A Cup of Java,"Gabriella Teggia,Mark Hanusz",9789799589897,144,Equinox Publishing (Asia) Pte. Ltd.,2004,2,15
210,The Art of Java,"Herbert Schildt,James Holmes",9780072229714,370,McGraw-Hill/Osborne Media,2003,7,25
211,Java EE 7 Essentials,Arun Gupta,9781449370176,362,O'Reilly Media,2013,9,3
212,Java Head,Joseph Hergesheimer,9781417918225,256,Kessinger Publishing,2005,5,1
213,South to Java,William P. Mack Jr.,9780933852709,460,Nautical & Aviation Publishing Company of Ame,,,
214,Objects First with Java: A Practical Introduction Using BlueJ,"David J. Barnes,Michael Kölling",9780131976290,520,Prentice Hall,2006,6,15
215,Ajax on Java,Steven Douglas Olson,9780596101879,211,O'Reilly Media,2007,2,1
216,Design Patterns in Java,"Steven John Metsker,William C. Wake",9780321333025,461,Addison-Wesley Professional,2006,3,1
217,Java Programming,Joyce Farrell,9781423901280,811,Course Technology,2007,2,6
218,Java Ee 5 For Beginners,"Ivan Bayross,Sharanam Shah,Cynthia Bayross,Vaishali Shah",9788184045697,1112,Shroff Publishers &amp Distributors Pvt. Ltd.,2008,,
219,"Algorithms in Java, Parts 1-4","Robert Sedgewick,Michael Schidlowsky",9780201361209,768,Addison-Wesley Professional,2002,8,2
220,UML for Java Programmers,"Robert C. Martin,Ira Reed",9780131428485,288,Prentice Hall PTR,2003,6,6
221,Database Programming with JDBC & Java,George Reese,9781565926165,350,O'Reilly Media,2000,8,31
222,Java Servlet Programming,"Jason Hunter,William Crawford",9780596000400,780,O'Reilly Media,2001,4,13
223,Schaum's Outline of Programming with Java,John R.  Hubbard,639785386216,360,McGraw-Hill Education,2004,4,16
224,Programming In Java 2,K. Somasundaram,9788179924174,,,,,
225,The Art & Science of Java: An Introduction to Computer Science,Eric S. Roberts,9780321486127,587,Addison Wesley Publishing Company,2007,2,1
226,Mysticism in Java,Niels Mulder,,168,Kanisius,1999,11,1
227,Introduction to Programming in Java: An Interdisciplinary Approach,Robert Sedgewick,9780321498052,723,Addison Wesley Longman,2007,8,1
228,"Proceedings of the Court Martial, Held on the Officers and Crew of His Majesty's Late Ship, the Java. --",Java Java,9781359364500,32,Palala Press,2016,5,24
229,Beginning Java 2,Ivor Horton,9780764543654,1200,Wrox Press,2002,3,29
230,Island of Java,"John Joseph Stockdale,John Bastin",9789628734238,428,Periplus Editions (HK) ltd.,2004,3,15
231,Människans jord - en kärleksroman från Java,"Pramoedya Ananta Toer,Sonja Berg Pleijel",,266,Norstedts,1992,8,
232,Programming Android: Java Programming for the New Generation of Mobile Devices,"Zigurd Mednieks,Laird Dornin,G. Blake Meike,Masumi Nakamura",9781449316648,566,O'Reilly Media,2012,10,19
233,"Java Concepts, Compatible with Java 5 and 6, 5th Edition",Cay S. Horstmann,9780470105559,702,John Wiley and Sons,2007,3,5
234,Esensi-Esensi Bahasa Pemrograman JAVA,"Bambang Hariyanto, Ir., MT.",,832,Penerbit Informatika Bandung,2003,,
235,"On the Subject of ""Java""",John Pemberton,9780801499630,,Cornell University Press,2012,2,3
236,Java Nio,Ron Hitchens,9780596002886,304,O'Reilly Media,2002,9,3
237,The Magus of Java: Teachings of an Authentic Taoist Immortal,Kosta Danaos,9780892818136,224,Inner Traditions,2000,6,1
238,Karel the Robot Learns Java,Eric S. Roberts,,37,Stanford Universit,2005,,
239,Java: The Good Parts,Jim Waldo,9780596803735,196,O'Reilly Media,2010,5,6
240,Data Structures Using Java,"D.S. Malik,P.S. Nair",9780619159504,833,Course Technology,2003,4,3
241,"Better, Faster, Lighter Java","Bruce Tate,Justin Gehtland",9780596006761,266,O'Reilly Media,2004,6,4
242,The Java Handbook,Patrick Naughton,9780078821998,424,Osborne Publishing,1996,3,22
243,Java for Everyone,Cay S. Horstmann,9780471791911,515,John Wiley & Sons,2010,2,2
244,Murach's Java Servlets and JSP,"Joel Murach,Andrea Steelman",9781890774448,729,Mike Murach & Associates,2008,2,1
245,Ivor Horton's Beginning Java: Java 7 Edition,Ivor Horton,9780470404140,1117,Wrox Press,2011,9,27
