code_module,code_presentation,id_student,gender,region,highest_education,age_band,num_of_prev_attempts,studied_credits,disability,final_result,assessment_type,date_submitted,sum_click
AAA,2013J,127582,F,East Midlands Region,A Level or Equivalent,0-35,0,180,N,Pass,TMA,118.4,1321
AAA,2013J,132976,F,East Anglian Region,Lower Than A Level,35-55,0,120,N,Pass,TMA,113.4,520
AAA,2013J,134143,F,South East Region,A Level or Equivalent,35-55,0,60,N,Distinction,TMA,113.4,2732
AAA,2013J,137873,M,South West Region,A Level or Equivalent,35-55,0,60,N,Pass,TMA,112.4,5528
AAA,2013J,141355,F,East Midlands Region,A Level or Equivalent,0-35,0,240,N,Pass,TMA,115.6,1823
AAA,2013J,142326,F,North Region,A Level or Equivalent,35-55,0,60,N,Pass,TMA,115.2,2121
AAA,2013J,144801,F,South Region,HE Qualification,35-55,0,60,N,Pass,TMA,114.8,5645
AAA,2013J,145130,M,South West Region,HE Qualification,0-35,0,120,N,Pass,TMA,118.4,452
AAA,2013J,146188,F,West Midlands Region,A Level or Equivalent,0-35,0,60,Y,Fail,TMA,119,597
AAA,2013J,147756,M,North Region,Lower Than A Level,0-35,0,120,N,Fail,TMA,91.5,611
AAA,2013J,151358,F,London Region,A Level or Equivalent,0-35,0,150,N,Pass,TMA,110.6,270
AAA,2013J,155550,M,London Region,A Level or Equivalent,35-55,0,420,N,Pass,TMA,115,1529
AAA,2013J,155854,F,East Midlands Region,A Level or Equivalent,35-55,0,60,N,Pass,TMA,113.2,4003
AAA,2013J,157568,F,South West Region,A Level or Equivalent,0-35,0,60,N,Pass,TMA,123.6,1405
AAA,2013J,164259,M,Scotland,A Level or Equivalent,0-35,0,60,N,Pass,TMA,113.8,466
AAA,2013J,167906,F,Yorkshire Region,A Level or Equivalent,35-55,0,60,N,Pass,TMA,117,1510
AAA,2013J,168936,F,West Midlands Region,Lower Than A Level,35-55,0,60,N,Pass,TMA,114.2,745
AAA,2013J,172112,M,Ireland,HE Qualification,35-55,0,60,N,Pass,TMA,121.2,1939
AAA,2013J,172797,F,Ireland,A Level or Equivalent,35-55,0,60,N,Pass,TMA,115,1782
AAA,2013J,174782,M,East Anglian Region,HE Qualification,55<=,0,60,N,Pass,TMA,112.2,6318
AAA,2013J,175392,M,North Region,HE Qualification,35-55,0,60,N,Pass,TMA,112.4,4447
AAA,2013J,175932,M,North Western Region,HE Qualification,35-55,0,60,N,Pass,TMA,114.6,2016
AAA,2013J,175991,F,North Western Region,A Level or Equivalent,0-35,0,180,N,Fail,TMA,130.4,138
AAA,2013J,180753,M,South West Region,A Level or Equivalent,0-35,0,120,N,Pass,TMA,111.4,2012
AAA,2013J,183096,F,South West Region,A Level or Equivalent,0-35,0,60,N,Pass,TMA,114.8,1975
AAA,2013J,183947,M,London Region,A Level or Equivalent,0-35,0,180,N,Pass,TMA,115.2,964
AAA,2013J,184271,M,South West Region,HE Qualification,35-55,0,170,N,Pass,TMA,111.6,1312
AAA,2013J,185439,M,London Region,HE Qualification,0-35,0,120,N,Fail,TMA,24,427
AAA,2013J,186149,M,Scotland,HE Qualification,35-55,0,60,N,Pass,TMA,122.8,2136
AAA,2013J,187100,M,South East Region,A Level or Equivalent,35-55,0,60,N,Distinction,TMA,112.2,8562
AAA,2013J,189879,M,Scotland,A Level or Equivalent,0-35,0,120,N,Pass,TMA,113.6,1541
AAA,2013J,192183,F,South West Region,Lower Than A Level,0-35,0,60,N,Pass,TMA,114.6,3219
AAA,2013J,200860,M,London Region,Lower Than A Level,35-55,0,60,N,Pass,TMA,112.2,534
AAA,2013J,205350,M,South West Region,HE Qualification,35-55,0,60,N,Pass,TMA,114.2,1665
AAA,2013J,205719,M,East Anglian Region,A Level or Equivalent,0-35,0,90,Y,Fail,TMA,67,333
AAA,2013J,227499,F,London Region,A Level or Equivalent,35-55,0,60,N,Distinction,TMA,113.2,2953
AAA,2013J,227517,M,Ireland,HE Qualification,0-35,0,180,N,Fail,TMA,113.6,1205
AAA,2013J,228082,M,London Region,HE Qualification,0-35,0,60,N,Pass,TMA,114.2,227
AAA,2013J,228222,M,East Midlands Region,Lower Than A Level,0-35,0,60,N,Pass,TMA,121,445
AAA,2013J,229179,M,West Midlands Region,A Level or Equivalent,0-35,0,60,N,Pass,TMA,113.4,614
AAA,2013J,229361,M,East Midlands Region,A Level or Equivalent,0-35,0,60,N,Pass,TMA,113.2,1215
AAA,2013J,231554,M,London Region,A Level or Equivalent,0-35,0,240,N,Pass,TMA,101.75,1839
AAA,2013J,236284,M,Scotland,Post Graduate Qualification,0-35,0,60,N,Pass,TMA,115.8,732
AAA,2013J,238007,M,South Region,HE Qualification,55<=,0,60,N,Pass,TMA,114.2,1935
AAA,2013J,240712,M,London Region,HE Qualification,0-35,0,80,N,Pass,TMA,114.2,321
AAA,2013J,240884,M,South Region,A Level or Equivalent,0-35,0,120,N,Pass,TMA,112.2,427
AAA,2013J,241649,M,East Anglian Region,HE Qualification,35-55,0,60,N,Pass,TMA,108.2,1892
AAA,2013J,241729,F,East Midlands Region,HE Qualification,35-55,0,60,N,Fail,TMA,115.2,1829
AAA,2013J,242793,M,London Region,HE Qualification,35-55,0,60,N,Pass,TMA,113.6,658
AAA,2013J,246834,M,South West Region,A Level or Equivalent,35-55,0,60,N,Pass,TMA,114,1174
AAA,2013J,248270,M,North Western Region,Lower Than A Level,0-35,0,90,N,Pass,TMA,118,1969
AAA,2013J,255548,M,Wales,Lower Than A Level,35-55,0,60,N,Pass,TMA,119,2580
AAA,2013J,256815,M,North Western Region,HE Qualification,0-35,0,120,N,Pass,TMA,118.8,1481
AAA,2013J,258392,F,West Midlands Region,Lower Than A Level,0-35,0,60,N,Pass,TMA,116.4,844
AAA,2013J,258894,F,East Anglian Region,Lower Than A Level,35-55,0,60,N,Pass,TMA,117.4,4963
AAA,2013J,262011,M,East Midlands Region,A Level or Equivalent,35-55,0,60,N,Pass,TMA,116.8,1066
AAA,2013J,262934,F,North Western Region,A Level or Equivalent,35-55,0,60,N,Pass,TMA,113.2,2407
AAA,2013J,268073,M,East Anglian Region,A Level or Equivalent,35-55,0,90,N,Fail,TMA,112,3210
AAA,2013J,271251,M,Scotland,A Level or Equivalent,35-55,0,60,N,Pass,TMA,114.2,3348
AAA,2013J,279572,M,London Region,Lower Than A Level,0-35,0,60,N,Distinction,TMA,111.2,1183
AAA,2013J,281022,F,Scotland,A Level or Equivalent,0-35,0,150,N,Pass,TMA,115.6,492
AAA,2013J,281250,M,Wales,Lower Than A Level,35-55,0,60,N,Fail,TMA,112,130
AAA,2013J,282821,M,South West Region,A Level or Equivalent,35-55,0,60,N,Pass,TMA,120,1961
AAA,2013J,286488,M,South East Region,A Level or Equivalent,35-55,0,60,N,Pass,TMA,116.2,1046
AAA,2013J,287548,M,East Anglian Region,A Level or Equivalent,0-35,0,120,N,Pass,TMA,113.8,483
AAA,2013J,290201,M,Wales,A Level or Equivalent,0-35,0,60,N,Pass,TMA,115.4,1740
AAA,2013J,290757,M,North Western Region,A Level or Equivalent,0-35,0,60,N,Pass,TMA,113.4,652
AAA,2013J,291334,M,South East Region,A Level or Equivalent,35-55,0,60,N,Distinction,TMA,114.8,5231
AAA,2013J,293699,M,East Midlands Region,A Level or Equivalent,0-35,0,120,N,Pass,TMA,142,187
AAA,2013J,294570,M,South East Region,HE Qualification,55<=,0,60,N,Pass,TMA,110.6,1775
AAA,2013J,294594,M,South East Region,A Level or Equivalent,0-35,0,60,N,Pass,TMA,112.8,865
AAA,2013J,295741,M,South East Region,A Level or Equivalent,35-55,0,240,N,Fail,TMA,114,709
AAA,2013J,296332,M,South Region,Post Graduate Qualification,55<=,0,60,N,Distinction,TMA,111.4,2152
AAA,2013J,298696,F,South East Region,HE Qualification,0-35,0,60,N,Pass,TMA,116.8,514
AAA,2013J,300398,M,West Midlands Region,A Level or Equivalent,35-55,0,60,N,Pass,TMA,105.6,1997
AAA,2013J,302302,F,East Anglian Region,A Level or Equivalent,0-35,0,60,N,Fail,TMA,64.66666667,513
AAA,2013J,305152,M,North Western Region,A Level or Equivalent,0-35,0,60,N,Fail,TMA,19,146
AAA,2013J,305386,M,West Midlands Region,A Level or Equivalent,0-35,0,120,Y,Pass,TMA,114.2,1277
AAA,2013J,306107,M,West Midlands Region,A Level or Equivalent,35-55,0,120,N,Pass,TMA,113.8,987
AAA,2013J,306466,M,East Anglian Region,A Level or Equivalent,35-55,0,60,N,Pass,TMA,111.2,1220
AAA,2013J,306897,F,London Region,A Level or Equivalent,0-35,0,60,N,Pass,TMA,113.8,2742
AAA,2013J,307061,F,East Midlands Region,HE Qualification,0-35,0,60,N,Pass,TMA,114.2,1081
AAA,2013J,307866,M,West Midlands Region,A Level or Equivalent,0-35,0,60,N,Pass,TMA,90.75,1476
AAA,2013J,311917,M,South West Region,A Level or Equivalent,55<=,0,120,N,Pass,TMA,114.4,2230
AAA,2013J,312537,M,South Region,Post Graduate Qualification,55<=,0,60,N,Distinction,TMA,112.6,12882
AAA,2013J,312782,M,South Region,A Level or Equivalent,0-35,0,60,N,Pass,TMA,113.4,281
AAA,2013J,318933,F,East Anglian Region,HE Qualification,0-35,0,120,N,Pass,TMA,106.2,1281
AAA,2013J,319047,F,East Midlands Region,A Level or Equivalent,0-35,0,60,N,Pass,TMA,115.6,6589
AAA,2013J,321942,M,South Region,HE Qualification,55<=,0,60,N,Pass,TMA,111.4,10083
AAA,2013J,324002,M,East Anglian Region,HE Qualification,35-55,0,60,N,Pass,TMA,113.6,1901
AAA,2013J,324084,F,South West Region,A Level or Equivalent,35-55,0,60,N,Pass,TMA,113.6,1961
AAA,2013J,324282,M,South East Region,A Level or Equivalent,0-35,0,120,N,Pass,TMA,113.4,133
AAA,2013J,332789,F,East Anglian Region,A Level or Equivalent,35-55,0,60,N,Pass,TMA,113.8,1655
AAA,2013J,333059,M,Scotland,A Level or Equivalent,0-35,0,120,N,Pass,TMA,114,301
AAA,2013J,333323,M,Scotland,HE Qualification,0-35,0,60,N,Pass,TMA,114.2,648
AAA,2013J,334259,F,London Region,A Level or Equivalent,0-35,0,150,N,Fail,TMA,68.5,332
AAA,2013J,336207,M,East Anglian Region,A Level or Equivalent,0-35,0,120,N,Pass,TMA,112.2,1316
AAA,2013J,339972,M,North Region,A Level or Equivalent,0-35,0,60,N,Pass,TMA,113.8,333
AAA,2013J,341872,M,East Anglian Region,Lower Than A Level,0-35,0,180,N,Fail,TMA,130.2,201
AAA,2013J,342514,M,Scotland,Lower Than A Level,55<=,0,60,N,Pass,TMA,104.2,1950
AAA,2013J,342972,M,Yorkshire Region,HE Qualification,0-35,0,60,N,Pass,TMA,112.2,838
AAA,2013J,343446,M,Ireland,HE Qualification,35-55,0,120,N,Pass,TMA,116.6,3644
AAA,2013J,344282,M,Yorkshire Region,A Level or Equivalent,0-35,0,60,N,Fail,TMA,113.2,65
AAA,2013J,345068,M,East Anglian Region,A Level or Equivalent,0-35,0,180,Y,Pass,TMA,115.8,547
AAA,2013J,345357,M,Yorkshire Region,A Level or Equivalent,0-35,0,60,N,Distinction,TMA,111.8,2219
AAA,2013J,346025,M,East Anglian Region,A Level or Equivalent,0-35,0,120,N,Pass,TMA,113.2,569
AAA,2013J,350188,M,North Western Region,HE Qualification,35-55,0,60,N,Pass,TMA,114.2,761
AAA,2013J,357668,M,Yorkshire Region,A Level or Equivalent,0-35,0,60,N,Fail,TMA,63.33333333,166
AAA,2013J,364177,M,East Anglian Region,Lower Than A Level,35-55,0,60,N,Fail,TMA,86.5,821
AAA,2013J,365244,F,London Region,A Level or Equivalent,0-35,0,120,N,Pass,TMA,114.2,891
AAA,2013J,365642,M,East Anglian Region,Lower Than A Level,35-55,0,60,N,Pass,TMA,112.4,2129
AAA,2013J,366483,M,South West Region,HE Qualification,0-35,0,60,N,Pass,TMA,112,1465
AAA,2013J,368194,F,South West Region,A Level or Equivalent,0-35,0,120,Y,Pass,TMA,119.4,437
AAA,2013J,368824,M,Wales,HE Qualification,35-55,0,120,N,Fail,TMA,113.4,292
AAA,2013J,368963,M,Yorkshire Region,Lower Than A Level,0-35,0,180,N,Pass,TMA,108.8,677
AAA,2013J,376439,M,North Region,HE Qualification,0-35,0,60,N,Distinction,TMA,117.4,2342
AAA,2013J,376581,F,South Region,A Level or Equivalent,35-55,0,60,N,Pass,TMA,116.2,2333
AAA,2013J,380953,M,East Midlands Region,A Level or Equivalent,0-35,0,60,N,Pass,TMA,112.2,1062
AAA,2013J,383254,M,Yorkshire Region,A Level or Equivalent,0-35,0,120,N,Pass,TMA,115.8,543
AAA,2013J,386924,M,Ireland,Lower Than A Level,0-35,0,120,N,Pass,TMA,115.6,164
AAA,2013J,386952,M,Yorkshire Region,A Level or Equivalent,0-35,0,120,N,Pass,TMA,116,910
AAA,2013J,388722,F,London Region,Lower Than A Level,35-55,0,60,N,Pass,TMA,116.2,671
AAA,2013J,388885,M,South West Region,A Level or Equivalent,35-55,0,60,N,Pass,TMA,112.4,875
AAA,2013J,392756,M,West Midlands Region,A Level or Equivalent,0-35,0,120,N,Fail,TMA,114.2,363
AAA,2013J,392931,F,North Western Region,A Level or Equivalent,35-55,0,120,N,Pass,TMA,118.4,3003
AAA,2013J,393207,M,North Western Region,A Level or Equivalent,0-35,0,60,N,Pass,TMA,113.2,876
AAA,2013J,396872,M,Yorkshire Region,HE Qualification,0-35,0,180,N,Pass,TMA,117.2,996
AAA,2013J,398552,M,Yorkshire Region,Lower Than A Level,0-35,0,240,N,Fail,TMA,113.6,1183
AAA,2013J,401869,F,South East Region,Lower Than A Level,0-35,0,60,N,Pass,TMA,117,955
AAA,2013J,402470,M,South West Region,Lower Than A Level,35-55,0,60,N,Pass,TMA,112,1445
AAA,2013J,404804,M,Wales,Lower Than A Level,35-55,0,120,N,Pass,TMA,106,509
AAA,2013J,405088,M,North Region,A Level or Equivalent,0-35,0,120,N,Pass,TMA,115.4,1388
AAA,2013J,414117,M,Yorkshire Region,A Level or Equivalent,0-35,0,120,N,Pass,TMA,116.8,807
AAA,2013J,420087,M,Scotland,A Level or Equivalent,0-35,0,60,Y,Fail,TMA,66.33333333,342
AAA,2013J,429958,F,North Western Region,A Level or Equivalent,0-35,0,60,N,Pass,TMA,114.2,411
AAA,2013J,441018,F,South East Region,A Level or Equivalent,0-35,0,150,N,Pass,TMA,113.6,646
AAA,2013J,441888,M,London Region,A Level or Equivalent,0-35,0,120,N,Pass,TMA,114,739
AAA,2013J,444677,M,London Region,HE Qualification,0-35,0,60,N,Distinction,TMA,114.2,1241
AAA,2013J,489455,F,South West Region,A Level or Equivalent,0-35,0,60,N,Pass,TMA,110.6,2832
AAA,2013J,495284,M,South East Region,HE Qualification,0-35,0,120,N,Pass,TMA,114.8,901
AAA,2013J,498857,M,North Western Region,HE Qualification,35-55,0,60,N,Pass,TMA,114.2,998
AAA,2013J,508818,M,London Region,A Level or Equivalent,0-35,0,120,N,Pass,TMA,114.2,1129
AAA,2013J,512460,M,South East Region,HE Qualification,0-35,0,120,N,Pass,TMA,114,521
AAA,2013J,544103,M,North Western Region,HE Qualification,0-35,0,120,N,Pass,TMA,113.6,2328
AAA,2013J,550383,M,South East Region,HE Qualification,0-35,0,60,N,Pass,TMA,115.2,910
AAA,2013J,564450,M,West Midlands Region,HE Qualification,0-35,0,120,N,Fail,TMA,113,224
AAA,2013J,572652,M,West Midlands Region,HE Qualification,0-35,0,120,N,Pass,TMA,120,780
AAA,2013J,580389,M,Ireland,HE Qualification,0-35,0,120,N,Pass,TMA,115.4,1271
AAA,2013J,581129,M,East Anglian Region,A Level or Equivalent,0-35,0,120,N,Fail,TMA,85.5,194
AAA,2013J,588775,M,South West Region,A Level or Equivalent,0-35,0,120,N,Pass,TMA,113,7067
AAA,2013J,591774,M,South Region,Post Graduate Qualification,35-55,0,60,N,Pass,TMA,114.2,605
AAA,2013J,606143,M,Scotland,Post Graduate Qualification,35-55,0,60,N,Fail,TMA,36.5,406
AAA,2013J,704156,M,South Region,HE Qualification,55<=,0,120,N,Pass,TMA,114.4,3064
AAA,2013J,705379,M,West Midlands Region,A Level or Equivalent,55<=,0,120,N,Distinction,TMA,113.4,5680
AAA,2013J,749412,M,South Region,Lower Than A Level,55<=,0,60,N,Pass,TMA,108.2,4007
AAA,2013J,760729,M,West Midlands Region,A Level or Equivalent,55<=,0,60,N,Distinction,TMA,112.2,7288
AAA,2013J,905042,F,East Anglian Region,A Level or Equivalent,35-55,0,60,N,Pass,TMA,114,3004
AAA,2013J,949618,F,South West Region,A Level or Equivalent,35-55,0,60,N,Pass,TMA,113,1357
AAA,2013J,958987,M,North Western Region,HE Qualification,35-55,0,60,N,Pass,TMA,114.2,1216
AAA,2013J,968578,F,East Anglian Region,A Level or Equivalent,35-55,0,60,N,Pass,TMA,118,870
AAA,2013J,971027,F,West Midlands Region,HE Qualification,35-55,0,60,N,Pass,TMA,113.2,3098
AAA,2013J,978739,M,South Region,HE Qualification,35-55,0,60,N,Pass,TMA,114.8,5988
AAA,2013J,1035023,F,London Region,Lower Than A Level,35-55,0,60,N,Pass,TMA,113.8,1896
AAA,2013J,1105478,M,Scotland,HE Qualification,55<=,0,60,N,Pass,TMA,115,1695
AAA,2013J,1401935,M,West Midlands Region,A Level or Equivalent,35-55,0,60,N,Fail,TMA,43.5,240
AAA,2013J,1402638,F,East Midlands Region,HE Qualification,35-55,0,60,N,Pass,TMA,119.6,910
AAA,2013J,1414443,F,Yorkshire Region,A Level or Equivalent,35-55,0,120,N,Fail,TMA,78,1907
AAA,2013J,1465690,M,West Midlands Region,HE Qualification,35-55,0,120,N,Pass,TMA,113.6,3460
AAA,2013J,1472925,F,East Anglian Region,Lower Than A Level,35-55,0,60,Y,Fail,TMA,117.2,939
AAA,2013J,1488959,M,London Region,A Level or Equivalent,35-55,0,60,N,Pass,TMA,115.6,3493
AAA,2013J,1518989,F,South East Region,Lower Than A Level,35-55,0,60,N,Pass,TMA,115,4202
AAA,2013J,1618738,M,London Region,Lower Than A Level,35-55,0,60,N,Pass,TMA,112.8,723
AAA,2013J,1620151,M,South Region,HE Qualification,35-55,0,60,N,Fail,TMA,70,998
AAA,2013J,1626710,M,North Western Region,A Level or Equivalent,35-55,0,60,N,Distinction,TMA,111.4,6025
AAA,2013J,1640609,M,West Midlands Region,A Level or Equivalent,35-55,0,60,N,Pass,TMA,112.4,5061
AAA,2013J,1729319,F,Scotland,HE Qualification,35-55,0,60,N,Pass,TMA,114.2,2756
AAA,2013J,1746134,M,East Anglian Region,A Level or Equivalent,35-55,0,60,N,Pass,TMA,109.4,1759
AAA,2013J,1765788,M,South East Region,HE Qualification,55<=,0,60,N,Pass,TMA,116.6,7057
AAA,2013J,1801229,M,Ireland,HE Qualification,35-55,0,60,N,Pass,TMA,116.2,1443
AAA,2013J,1801641,M,Scotland,A Level or Equivalent,35-55,0,60,N,Pass,TMA,113.2,459
AAA,2013J,1847830,M,South West Region,Lower Than A Level,35-55,0,60,N,Pass,TMA,113.2,6518
AAA,2013J,1860318,M,South West Region,Lower Than A Level,35-55,0,300,Y,Pass,TMA,114.2,5975
AAA,2013J,1889511,M,Yorkshire Region,A Level or Equivalent,35-55,0,60,N,Pass,TMA,116.2,1754
AAA,2013J,1889577,F,South Region,A Level or Equivalent,35-55,0,60,Y,Pass,TMA,115,931
AAA,2013J,1894188,F,East Midlands Region,A Level or Equivalent,0-35,0,60,N,Pass,TMA,109.6,4294
AAA,2013J,1938355,M,South Region,A Level or Equivalent,35-55,0,60,N,Pass,TMA,107.6,1992
AAA,2013J,1942396,F,East Anglian Region,Lower Than A Level,35-55,0,120,Y,Pass,TMA,116.2,470
AAA,2013J,1976139,M,Ireland,Lower Than A Level,35-55,0,120,N,Pass,TMA,100,1216
AAA,2013J,2011876,F,East Anglian Region,A Level or Equivalent,0-35,0,60,Y,Pass,TMA,114.2,1401
AAA,2013J,2012966,M,North Western Region,Lower Than A Level,35-55,0,60,N,Pass,TMA,113.4,519
AAA,2013J,2051699,F,South West Region,Lower Than A Level,35-55,0,60,N,Pass,TMA,116.8,1734
AAA,2013J,2062879,F,East Anglian Region,A Level or Equivalent,0-35,0,60,N,Fail,TMA,113.6,2386
AAA,2013J,2080474,F,South Region,A Level or Equivalent,35-55,0,60,N,Pass,TMA,115.2,1146
AAA,2013J,2083877,F,West Midlands Region,A Level or Equivalent,0-35,0,120,N,Pass,TMA,116.8,685
AAA,2013J,2084066,F,South West Region,Lower Than A Level,35-55,0,60,N,Fail,TMA,98.5,1967
AAA,2013J,2104505,M,West Midlands Region,Lower Than A Level,35-55,0,60,N,Pass,TMA,113.8,701
AAA,2013J,2122180,F,North Western Region,Lower Than A Level,35-55,0,60,N,Distinction,TMA,118,4712
AAA,2013J,2143752,F,South Region,Lower Than A Level,35-55,0,60,N,Pass,TMA,113,1888
AAA,2013J,2146792,M,North Western Region,HE Qualification,55<=,0,60,N,Pass,TMA,114.2,2385
AAA,2013J,2153153,F,Yorkshire Region,A Level or Equivalent,0-35,0,60,N,Pass,TMA,113.4,3385
AAA,2013J,2155014,F,West Midlands Region,Lower Than A Level,0-35,0,60,Y,Pass,TMA,118.6,1454
AAA,2013J,2164705,F,North Western Region,A Level or Equivalent,0-35,0,120,N,Fail,TMA,18,231
AAA,2013J,2171627,F,Yorkshire Region,A Level or Equivalent,35-55,0,60,N,Pass,TMA,112,1346
AAA,2013J,2182846,F,London Region,A Level or Equivalent,35-55,0,60,N,Pass,TMA,112.2,4214
AAA,2013J,2194100,F,East Anglian Region,A Level or Equivalent,35-55,0,60,N,Pass,TMA,113,1401
AAA,2013J,2197016,F,North Western Region,HE Qualification,35-55,0,60,N,Pass,TMA,110.2,1455
AAA,2013J,2208424,M,Scotland,A Level or Equivalent,0-35,0,60,N,Pass,TMA,112.8,1080
AAA,2013J,2229865,F,West Midlands Region,A Level or Equivalent,35-55,0,60,N,Pass,TMA,113.6,3236
AAA,2013J,2268379,F,East Midlands Region,A Level or Equivalent,0-35,0,60,N,Pass,TMA,116.8,1685
AAA,2013J,2278464,M,South Region,Lower Than A Level,35-55,0,60,N,Pass,TMA,117.8,307
AAA,2013J,2293923,M,South Region,A Level or Equivalent,0-35,0,150,N,Pass,TMA,115.2,303
AAA,2013J,2329342,F,East Anglian Region,Lower Than A Level,35-55,0,120,N,Pass,TMA,118.6,565
AAA,2013J,2339528,F,London Region,Lower Than A Level,0-35,0,60,N,Distinction,TMA,116.4,593
AAA,2013J,2342426,M,Yorkshire Region,Lower Than A Level,35-55,0,60,N,Fail,TMA,116.6,1814
AAA,2013J,2344901,F,Yorkshire Region,A Level or Equivalent,0-35,0,60,N,Fail,TMA,92.25,445
AAA,2013J,2358056,F,North Region,HE Qualification,0-35,0,60,N,Fail,TMA,114.2,1588
AAA,2013J,2364471,F,Scotland,HE Qualification,0-35,0,60,Y,Pass,TMA,118.4,7182
AAA,2013J,2367155,F,East Anglian Region,A Level or Equivalent,0-35,0,120,N,Pass,TMA,114.2,2148
AAA,2013J,2369266,F,London Region,Lower Than A Level,35-55,0,60,N,Pass,TMA,114.8,2146
AAA,2013J,2376496,F,East Midlands Region,A Level or Equivalent,0-35,0,120,N,Pass,TMA,114,749
AAA,2013J,2411661,F,South Region,A Level or Equivalent,0-35,0,120,N,Fail,TMA,115.2,574
AAA,2013J,2412002,M,South West Region,Lower Than A Level,35-55,0,90,N,Distinction,TMA,121.6,3344
AAA,2013J,2412967,F,South Region,A Level or Equivalent,35-55,0,60,N,Pass,TMA,115.2,2458
AAA,2013J,2437837,F,North Region,A Level or Equivalent,0-35,0,60,N,Pass,TMA,113,2684
AAA,2013J,2449878,F,East Midlands Region,A Level or Equivalent,0-35,0,60,N,Pass,TMA,119.6,622
AAA,2013J,2456480,M,Scotland,Lower Than A Level,35-55,0,120,N,Fail,TMA,66.66666667,183
