code_module,code_presentation,id_student,gender,region,highest_education,age_band,disability,wscore,sum_click
AAA,2013J,185439,M,London Region,HE Qualification,0-35,N,7.4,427
AAA,2013J,186149,M,Scotland,HE Qualification,35-55,N,15.12,2136
AAA,2013J,187100,M,South East Region,A Level or Equivalent,35-55,N,17.88,8562
AAA,2013J,188278,M,Yorkshire Region,A Level or Equivalent,35-55,N,7.6,1434
AAA,2013J,189879,M,Scotland,A Level or Equivalent,0-35,N,15.76,1541
AAA,2013J,192183,F,South West Region,Lower Than A Level,0-35,N,13.34,3219
AAA,2013J,195262,M,London Region,A Level or Equivalent,0-35,N,10,1905
AAA,2013J,200860,M,London Region,Lower Than A Level,35-55,N,10.16,534
AAA,2013J,202635,F,Wales,A Level or Equivalent,0-35,N,11.06666667,1418
AAA,2013J,205350,M,South West Region,HE Qualification,35-55,N,14.44,1665
AAA,2013J,205719,M,East Anglian Region,A Level or Equivalent,0-35,Y,9.1,333
AAA,2013J,227499,F,London Region,A Level or Equivalent,35-55,N,16.7,2953
AAA,2013J,227517,M,Ireland,HE Qualification,0-35,N,12.34,1205
AAA,2013J,228082,M,London Region,HE Qualification,0-35,N,14.96,227
AAA,2013J,228222,M,East Midlands Region,Lower Than A Level,0-35,N,12.14,445
AAA,2013J,229179,M,West Midlands Region,A Level or Equivalent,0-35,N,13.02,614
AAA,2013J,229361,M,East Midlands Region,A Level or Equivalent,0-35,N,15.5,1215
AAA,2013J,231554,M,London Region,A Level or Equivalent,0-35,N,13.2,1839
AAA,2013J,235507,M,Yorkshire Region,A Level or Equivalent,0-35,N,6.5,190
AAA,2013J,236284,M,Scotland,Post Graduate Qualification,0-35,N,15.1,732
AAA,2013J,238007,M,South Region,HE Qualification,55<=,N,15.9,1935
AAA,2013J,240712,M,London Region,HE Qualification,0-35,N,14.84,321
AAA,2013J,240884,M,South Region,A Level or Equivalent,0-35,N,11.28,427
AAA,2013J,241649,M,East Anglian Region,HE Qualification,35-55,N,15.76,1892
AAA,2013J,241729,F,East Midlands Region,HE Qualification,35-55,N,11.92,1829
AAA,2013J,242793,M,London Region,HE Qualification,35-55,N,15.84,658
AAA,2013J,246834,M,South West Region,A Level or Equivalent,35-55,N,10.96,1174
AAA,2013J,248270,M,North Western Region,Lower Than A Level,0-35,N,15.78,1969
AAA,2013J,255548,M,Wales,Lower Than A Level,35-55,N,13.68,2580
AAA,2013J,256815,M,North Western Region,HE Qualification,0-35,N,15.54,1481
AAA,2013J,258392,F,West Midlands Region,Lower Than A Level,0-35,N,11.82,844
AAA,2013J,258894,F,East Anglian Region,Lower Than A Level,35-55,N,12.88,4963
AAA,2013J,260355,F,London Region,A Level or Equivalent,35-55,N,5.833333333,426
AAA,2013J,262011,M,East Midlands Region,A Level or Equivalent,35-55,N,14.42,1066
AAA,2013J,262934,F,North Western Region,A Level or Equivalent,35-55,N,15.2,2407
AAA,2013J,268073,M,East Anglian Region,A Level or Equivalent,35-55,N,15.1,3210
AAA,2013J,268733,M,East Anglian Region,A Level or Equivalent,0-35,N,6.05,188
AAA,2013J,271251,M,Scotland,A Level or Equivalent,35-55,N,15.38,3348
AAA,2013J,277880,F,South East Region,A Level or Equivalent,0-35,N,11.2,2016
AAA,2013J,279572,M,London Region,Lower Than A Level,0-35,N,15.92,1183
AAA,2013J,281022,F,Scotland,A Level or Equivalent,0-35,N,14.76,492
AAA,2013J,281250,M,Wales,Lower Than A Level,35-55,N,10.86,130
AAA,2013J,282821,M,South West Region,A Level or Equivalent,35-55,N,11.76,1961
AAA,2013J,286488,M,South East Region,A Level or Equivalent,35-55,N,14.7,1046
AAA,2013J,287548,M,East Anglian Region,A Level or Equivalent,0-35,N,13.58,483
AAA,2013J,290201,M,Wales,A Level or Equivalent,0-35,N,13.96,1740
AAA,2013J,290757,M,North Western Region,A Level or Equivalent,0-35,N,14.9,652
AAA,2013J,291334,M,South East Region,A Level or Equivalent,35-55,N,16.58,5231
AAA,2013J,293699,M,East Midlands Region,A Level or Equivalent,0-35,N,10.375,187
AAA,2013J,294570,M,South East Region,HE Qualification,55<=,N,15.74,1775
AAA,2013J,294594,M,South East Region,A Level or Equivalent,0-35,N,10.2,865
AAA,2013J,295741,M,South East Region,A Level or Equivalent,35-55,N,10.38,709
AAA,2013J,296332,M,South Region,Post Graduate Qualification,55<=,N,16.86,2152
AAA,2013J,298696,F,South East Region,HE Qualification,0-35,N,16.36,514
AAA,2013J,300398,M,West Midlands Region,A Level or Equivalent,35-55,N,15.66,1997
AAA,2013J,302302,F,East Anglian Region,A Level or Equivalent,0-35,N,9.8,513
AAA,2013J,305152,M,North Western Region,A Level or Equivalent,0-35,N,6.4,146
AAA,2013J,305386,M,West Midlands Region,A Level or Equivalent,0-35,Y,15.62,1277
AAA,2013J,306107,M,West Midlands Region,A Level or Equivalent,35-55,N,10.98,987
AAA,2013J,306466,M,East Anglian Region,A Level or Equivalent,35-55,N,16.52,1220
AAA,2013J,306897,F,London Region,A Level or Equivalent,0-35,N,12.18,2742
AAA,2013J,307061,F,East Midlands Region,HE Qualification,0-35,N,16.26,1081
AAA,2013J,307866,M,West Midlands Region,A Level or Equivalent,0-35,N,10.825,1476
AAA,2013J,311917,M,South West Region,A Level or Equivalent,55<=,N,12.08,2230
AAA,2013J,312537,M,South Region,Post Graduate Qualification,55<=,N,17.56,12882
AAA,2013J,312782,M,South Region,A Level or Equivalent,0-35,N,11.7,281
AAA,2013J,318933,F,East Anglian Region,HE Qualification,0-35,N,13.32,1281
AAA,2013J,319047,F,East Midlands Region,A Level or Equivalent,0-35,N,15.72,6589
AAA,2013J,321942,M,South Region,HE Qualification,55<=,N,16.04,10083
AAA,2013J,324002,M,East Anglian Region,HE Qualification,35-55,N,16.04,1901
AAA,2013J,324084,F,South West Region,A Level or Equivalent,35-55,N,11.5,1961
AAA,2013J,324282,M,South East Region,A Level or Equivalent,0-35,N,12.92,133
AAA,2013J,331358,F,South Region,HE Qualification,35-55,N,8.4,2376
AAA,2013J,332789,F,East Anglian Region,A Level or Equivalent,35-55,N,15.02,1655
AAA,2013J,333059,M,Scotland,A Level or Equivalent,0-35,N,12.52,301
AAA,2013J,333323,M,Scotland,HE Qualification,0-35,N,14.84,648
AAA,2013J,334259,F,London Region,A Level or Equivalent,0-35,N,7.75,332
AAA,2013J,334333,F,South West Region,A Level or Equivalent,0-35,Y,3.6,303
AAA,2013J,335764,F,South East Region,A Level or Equivalent,0-35,N,14.4,2286
AAA,2013J,336207,M,East Anglian Region,A Level or Equivalent,0-35,N,13.48,1316
AAA,2013J,339972,M,North Region,A Level or Equivalent,0-35,N,9.56,333
AAA,2013J,341872,M,East Anglian Region,Lower Than A Level,0-35,N,12.76,201
AAA,2013J,342007,F,West Midlands Region,HE Qualification,0-35,N,7.5,880
AAA,2013J,342514,M,Scotland,Lower Than A Level,55<=,N,15.68,1950
AAA,2013J,342972,M,Yorkshire Region,HE Qualification,0-35,N,12.3,838
AAA,2013J,343446,M,Ireland,HE Qualification,35-55,N,15.92,3644
AAA,2013J,344282,M,Yorkshire Region,A Level or Equivalent,0-35,N,9.48,65
AAA,2013J,345068,M,East Anglian Region,A Level or Equivalent,0-35,Y,15.9,547
AAA,2013J,345357,M,Yorkshire Region,A Level or Equivalent,0-35,N,16.4,2219
AAA,2013J,346025,M,East Anglian Region,A Level or Equivalent,0-35,N,16.48,569
AAA,2013J,350188,M,North Western Region,HE Qualification,35-55,N,14.68,761
AAA,2013J,357668,M,Yorkshire Region,A Level or Equivalent,0-35,N,9.766666667,166
AAA,2013J,364177,M,East Anglian Region,Lower Than A Level,35-55,N,12.2,821
AAA,2013J,365244,F,London Region,A Level or Equivalent,0-35,N,11.12,891
AAA,2013J,365642,M,East Anglian Region,Lower Than A Level,35-55,N,14.08,2129
AAA,2013J,366483,M,South West Region,HE Qualification,0-35,N,15.4,1465
AAA,2013J,368194,F,South West Region,A Level or Equivalent,0-35,Y,9.82,437
AAA,2013J,368824,M,Wales,HE Qualification,35-55,N,10.74,292
AAA,2013J,368963,M,Yorkshire Region,Lower Than A Level,0-35,N,13.48,677
AAA,2013J,376439,M,North Region,HE Qualification,0-35,N,17.46,2342
AAA,2013J,376581,F,South Region,A Level or Equivalent,35-55,N,14.6,2333
AAA,2013J,380953,M,East Midlands Region,A Level or Equivalent,0-35,N,13.4,1062
AAA,2013J,383254,M,Yorkshire Region,A Level or Equivalent,0-35,N,15.26,543
AAA,2013J,386924,M,Ireland,Lower Than A Level,0-35,N,13.78,164
AAA,2013J,386952,M,Yorkshire Region,A Level or Equivalent,0-35,N,13.76,910
AAA,2013J,388722,F,London Region,Lower Than A Level,35-55,N,12.74,671
AAA,2013J,388885,M,South West Region,A Level or Equivalent,35-55,N,12.38,875
AAA,2013J,390890,M,Scotland,A Level or Equivalent,0-35,N,11.43333333,639
AAA,2013J,392756,M,West Midlands Region,A Level or Equivalent,0-35,N,8.7,363
AAA,2013J,392931,F,North Western Region,A Level or Equivalent,35-55,N,13.82,3003
AAA,2013J,393207,M,North Western Region,A Level or Equivalent,0-35,N,14.96,876
AAA,2013J,396872,M,Yorkshire Region,HE Qualification,0-35,N,12.22,996
AAA,2013J,398552,M,Yorkshire Region,Lower Than A Level,0-35,N,9,1183
AAA,2013J,401869,F,South East Region,Lower Than A Level,0-35,N,13.4,955
AAA,2013J,402470,M,South West Region,Lower Than A Level,35-55,N,14.14,1445
AAA,2013J,404804,M,Wales,Lower Than A Level,35-55,N,8.32,509
AAA,2013J,405088,M,North Region,A Level or Equivalent,0-35,N,15.46,1388
AAA,2013J,414117,M,Yorkshire Region,A Level or Equivalent,0-35,N,15.2,807
AAA,2013J,415969,M,West Midlands Region,HE Qualification,35-55,N,9.7,1359
AAA,2013J,420087,M,Scotland,A Level or Equivalent,0-35,Y,12.53333333,342
AAA,2013J,429958,F,North Western Region,A Level or Equivalent,0-35,N,11.66,411
AAA,2013J,441018,F,South East Region,A Level or Equivalent,0-35,N,12.2,646
AAA,2013J,441888,M,London Region,A Level or Equivalent,0-35,N,14,739
AAA,2013J,442442,M,South West Region,HE Qualification,0-35,N,6.15,1009
AAA,2013J,444677,M,London Region,HE Qualification,0-35,N,17.38,1241
AAA,2013J,470588,M,South East Region,HE Qualification,35-55,N,8.6,400
AAA,2013J,489455,F,South West Region,A Level or Equivalent,0-35,N,14,2832
AAA,2013J,495284,M,South East Region,HE Qualification,0-35,N,13,901
AAA,2013J,498857,M,North Western Region,HE Qualification,35-55,N,14.52,998
AAA,2013J,508818,M,London Region,A Level or Equivalent,0-35,N,13.98,1129
AAA,2013J,512460,M,South East Region,HE Qualification,0-35,N,14.64,521
AAA,2013J,544103,M,North Western Region,HE Qualification,0-35,N,16.2,2328
AAA,2013J,550383,M,South East Region,HE Qualification,0-35,N,14.6,910
AAA,2013J,564450,M,West Midlands Region,HE Qualification,0-35,N,11.6,224
AAA,2013J,568601,F,Scotland,HE Qualification,0-35,N,12.05,488
AAA,2013J,572652,M,West Midlands Region,HE Qualification,0-35,N,14.74,780
AAA,2013J,580389,M,Ireland,HE Qualification,0-35,N,14.12,1271
AAA,2013J,581129,M,East Anglian Region,A Level or Equivalent,0-35,N,8,194
AAA,2013J,588775,M,South West Region,A Level or Equivalent,0-35,N,16.48,7067
AAA,2013J,591774,M,South Region,Post Graduate Qualification,35-55,N,14.68,605
AAA,2013J,603861,M,North Region,HE Qualification,55<=,N,12.8,955
AAA,2013J,606143,M,Scotland,Post Graduate Qualification,35-55,N,9.3,406
AAA,2013J,704156,M,South Region,HE Qualification,55<=,N,13.26,3064
AAA,2013J,705379,M,West Midlands Region,A Level or Equivalent,55<=,N,16.14,5680
AAA,2013J,721259,F,South Region,Lower Than A Level,55<=,N,0,1228
AAA,2013J,749412,M,South Region,Lower Than A Level,55<=,N,14.04,4007
AAA,2013J,760729,M,West Midlands Region,A Level or Equivalent,55<=,N,16.3,7288
AAA,2013J,905042,F,East Anglian Region,A Level or Equivalent,35-55,N,15.6,3004
AAA,2013J,949618,F,South West Region,A Level or Equivalent,35-55,N,12.06,1357
AAA,2013J,958987,M,North Western Region,HE Qualification,35-55,N,15.44,1216
AAA,2013J,968578,F,East Anglian Region,A Level or Equivalent,35-55,N,14.68,870
AAA,2013J,969076,M,South West Region,A Level or Equivalent,35-55,N,9.9,1980
AAA,2013J,971027,F,West Midlands Region,HE Qualification,35-55,N,13.44,3098
AAA,2013J,978739,M,South Region,HE Qualification,35-55,N,11.3,5988
AAA,2013J,1035023,F,London Region,Lower Than A Level,35-55,N,13.98,1896
AAA,2013J,1105478,M,Scotland,HE Qualification,55<=,N,16.24,1695
AAA,2013J,1352868,M,Yorkshire Region,A Level or Equivalent,35-55,N,9.8,641
AAA,2013J,1401935,M,West Midlands Region,A Level or Equivalent,35-55,N,4.75,240
AAA,2013J,1402638,F,East Midlands Region,HE Qualification,35-55,N,15,910
AAA,2013J,1414443,F,Yorkshire Region,A Level or Equivalent,35-55,N,8.9,1907
AAA,2013J,1465690,M,West Midlands Region,HE Qualification,35-55,N,16.18,3460
AAA,2013J,1472925,F,East Anglian Region,Lower Than A Level,35-55,Y,12.44,939
AAA,2013J,1488959,M,London Region,A Level or Equivalent,35-55,N,12.04,3493
AAA,2013J,1518989,F,South East Region,Lower Than A Level,35-55,N,14.44,4202
AAA,2013J,1618738,M,London Region,Lower Than A Level,35-55,N,15.58,723
AAA,2013J,1620151,M,South Region,HE Qualification,35-55,N,11.25,998
AAA,2013J,1626710,M,North Western Region,A Level or Equivalent,35-55,N,16.98,6025
AAA,2013J,1640609,M,West Midlands Region,A Level or Equivalent,35-55,N,17.06,5061
AAA,2013J,1686521,F,North Western Region,Lower Than A Level,35-55,N,6.8,643
AAA,2013J,1729319,F,Scotland,HE Qualification,35-55,N,15.5,2756
AAA,2013J,1746134,M,East Anglian Region,A Level or Equivalent,35-55,N,16.8,1759
AAA,2013J,1758449,M,South Region,Lower Than A Level,35-55,N,8.95,2756
AAA,2013J,1765788,M,South East Region,HE Qualification,55<=,N,13.5,7057
AAA,2013J,1801229,M,Ireland,HE Qualification,35-55,N,15.34,1443
AAA,2013J,1801641,M,Scotland,A Level or Equivalent,35-55,N,15.56,459
AAA,2013J,1847830,M,South West Region,Lower Than A Level,35-55,N,13.82,6518
AAA,2013J,1860318,M,South West Region,Lower Than A Level,35-55,Y,12.56,5975
AAA,2013J,1889511,M,Yorkshire Region,A Level or Equivalent,35-55,N,14.24,1754
AAA,2013J,1889577,F,South Region,A Level or Equivalent,35-55,Y,14.64,931
AAA,2013J,1894188,F,East Midlands Region,A Level or Equivalent,0-35,N,13.94,4294
AAA,2013J,1938355,M,South Region,A Level or Equivalent,35-55,N,14.24,1992
AAA,2013J,1942396,F,East Anglian Region,Lower Than A Level,35-55,Y,10.98,470
AAA,2013J,1970390,M,West Midlands Region,Lower Than A Level,35-55,N,16.76,11139
AAA,2013J,1976139,M,Ireland,Lower Than A Level,35-55,N,12.575,1216
AAA,2013J,2011876,F,East Anglian Region,A Level or Equivalent,0-35,Y,15.12,1401
AAA,2013J,2012966,M,North Western Region,Lower Than A Level,35-55,N,15.82,519
AAA,2013J,2051699,F,South West Region,Lower Than A Level,35-55,N,13.46,1734
AAA,2013J,2062879,F,East Anglian Region,A Level or Equivalent,0-35,N,12.42,2386
AAA,2013J,2065691,M,London Region,A Level or Equivalent,35-55,Y,6.133333333,1430
AAA,2013J,2073016,F,London Region,Lower Than A Level,35-55,N,10.06666667,849
AAA,2013J,2080474,F,South Region,A Level or Equivalent,35-55,N,13.44,1146
AAA,2013J,2083877,F,West Midlands Region,A Level or Equivalent,0-35,N,13.62,685
AAA,2013J,2084066,F,South West Region,Lower Than A Level,35-55,N,10.325,1967
AAA,2013J,2104505,M,West Midlands Region,Lower Than A Level,35-55,N,12.82,701
AAA,2013J,2122180,F,North Western Region,Lower Than A Level,35-55,N,16.46,4712
AAA,2013J,2139353,M,London Region,A Level or Equivalent,35-55,N,11.03333333,1262
AAA,2013J,2143752,F,South Region,Lower Than A Level,35-55,N,10.58,1888
AAA,2013J,2146792,M,North Western Region,HE Qualification,55<=,N,14,2385
AAA,2013J,2153153,F,Yorkshire Region,A Level or Equivalent,0-35,N,12.36,3385
AAA,2013J,2155014,F,West Midlands Region,Lower Than A Level,0-35,Y,14.78,1454
AAA,2013J,2164705,F,North Western Region,A Level or Equivalent,0-35,N,7,231
AAA,2013J,2171627,F,Yorkshire Region,A Level or Equivalent,35-55,N,13.68,1346
AAA,2013J,2182846,F,London Region,A Level or Equivalent,35-55,N,13.26,4214
AAA,2013J,2194100,F,East Anglian Region,A Level or Equivalent,35-55,N,13.46,1401
AAA,2013J,2197016,F,North Western Region,HE Qualification,35-55,N,15.14,1455
AAA,2013J,2208424,M,Scotland,A Level or Equivalent,0-35,N,13.98,1080
AAA,2013J,2229865,F,West Midlands Region,A Level or Equivalent,35-55,N,15.42,3236
AAA,2013J,2255601,F,South Region,A Level or Equivalent,35-55,N,7.35,2543
AAA,2013J,2268379,F,East Midlands Region,A Level or Equivalent,0-35,N,16.72,1685
AAA,2013J,2278464,M,South Region,Lower Than A Level,35-55,N,9.78,307
AAA,2013J,2293923,M,South Region,A Level or Equivalent,0-35,N,12.1,303
AAA,2013J,2312620,F,East Midlands Region,HE Qualification,35-55,N,6.033333333,1129
AAA,2013J,2329342,F,East Anglian Region,Lower Than A Level,35-55,N,11.76,565
AAA,2013J,2339528,F,London Region,Lower Than A Level,0-35,N,16.1,593
AAA,2013J,2342426,M,Yorkshire Region,Lower Than A Level,35-55,N,14.84,1814
AAA,2013J,2344901,F,Yorkshire Region,A Level or Equivalent,0-35,N,8.625,445
AAA,2013J,2358056,F,North Region,HE Qualification,0-35,N,13.96,1588
AAA,2013J,2358969,F,East Anglian Region,A Level or Equivalent,0-35,N,6.8,373
AAA,2013J,2364471,F,Scotland,HE Qualification,0-35,Y,16.32,7182
AAA,2013J,2367155,F,East Anglian Region,A Level or Equivalent,0-35,N,15.14,2148
AAA,2013J,2369266,F,London Region,Lower Than A Level,35-55,N,10.24,2146
AAA,2013J,2376496,F,East Midlands Region,A Level or Equivalent,0-35,N,15.1,749
AAA,2013J,2391984,M,South Region,A Level or Equivalent,0-35,N,12.725,818
AAA,2013J,2411661,F,South Region,A Level or Equivalent,0-35,N,9.06,574
AAA,2013J,2411778,M,Scotland,HE Qualification,0-35,N,12.15,1497
AAA,2013J,2412002,M,South West Region,Lower Than A Level,35-55,N,16.62,3344
AAA,2013J,2412967,F,South Region,A Level or Equivalent,35-55,N,15.5,2458
AAA,2013J,2429854,M,London Region,A Level or Equivalent,35-55,Y,5.1,655
AAA,2013J,2437837,F,North Region,A Level or Equivalent,0-35,N,14.98,2684
AAA,2013J,2449878,F,East Midlands Region,A Level or Equivalent,0-35,N,12.1,622
AAA,2013J,2456480,M,Scotland,Lower Than A Level,35-55,N,3.6,183
AAA,2013J,2457256,M,South Region,Lower Than A Level,35-55,N,14.1,1611
AAA,2013J,2458355,M,London Region,Lower Than A Level,35-55,N,18.2,4187
AAA,2013J,2460080,M,Scotland,HE Qualification,55<=,N,15.42,3424
AAA,2013J,2461190,M,South Region,HE Qualification,55<=,N,8.1,967
AAA,2013J,2469673,F,Yorkshire Region,Lower Than A Level,35-55,N,10.025,523
AAA,2013J,2470694,F,Scotland,HE Qualification,55<=,N,13.4,2176
AAA,2013J,2479954,M,North Western Region,A Level or Equivalent,0-35,N,15.94,323
AAA,2013J,2481901,M,Wales,Lower Than A Level,35-55,N,14.96,1949
AAA,2013J,2482700,M,South Region,Lower Than A Level,0-35,N,11.16,1616
AAA,2013J,2486127,F,East Anglian Region,HE Qualification,0-35,N,14.88,1690
AAA,2013J,2498700,F,North Western Region,Lower Than A Level,0-35,N,15.58,2864
AAA,2013J,2516503,M,South East Region,HE Qualification,35-55,N,15.84,3070
AAA,2013J,2518069,M,East Midlands Region,A Level or Equivalent,0-35,N,15.34,1617
AAA,2013J,2521459,F,London Region,Lower Than A Level,0-35,N,12.3,1078
AAA,2013J,2523736,M,North Western Region,A Level or Equivalent,55<=,N,10.9,470
AAA,2013J,2529279,F,North Western Region,HE Qualification,35-55,N,15.76,1189
AAA,2013J,2532302,F,East Anglian Region,A Level or Equivalent,0-35,N,12.06,1216
AAA,2013J,2536991,M,South Region,HE Qualification,55<=,N,16.68,1080
AAA,2013J,2550279,F,North Region,HE Qualification,35-55,N,12.56,2809
AAA,2013J,2551220,F,South Region,Lower Than A Level,0-35,N,12.68,1327
AAA,2013J,2552472,F,South Region,HE Qualification,35-55,N,7.6,519
AAA,2013J,2555340,F,South Region,HE Qualification,35-55,N,15.84,4441
AAA,2013J,2557283,M,Yorkshire Region,HE Qualification,55<=,N,16.32,7262
AAA,2013J,2559575,M,South West Region,Lower Than A Level,0-35,N,14.62,650
AAA,2013J,2562034,M,East Anglian Region,A Level or Equivalent,0-35,N,13.08,248
AAA,2013J,2566163,F,South Region,A Level or Equivalent,0-35,N,14.18,1591
AAA,2013J,2566592,F,South Region,A Level or Equivalent,35-55,N,14.36,1359
AAA,2013J,2574528,M,Ireland,HE Qualification,35-55,N,15.46,988
AAA,2013J,2574583,M,Yorkshire Region,Lower Than A Level,35-55,N,14.38,1890
AAA,2013J,2576122,M,North Western Region,A Level or Equivalent,0-35,N,6.4,250
AAA,2013J,2578995,F,West Midlands Region,A Level or Equivalent,0-35,Y,16.02,1326
AAA,2013J,2586560,F,East Anglian Region,Lower Than A Level,35-55,N,14.56,2905
AAA,2013J,2594139,F,South West Region,A Level or Equivalent,0-35,N,14.7,1868
AAA,2013J,2598871,F,East Anglian Region,A Level or Equivalent,35-55,N,14.8,2049
