Revenue,Mou,Overage,Roam,Changem,Months,Uniqsubs,Actvsubs,Eqpdays,Customer,Creditde,Refurb,Setprcm,Retcall,Churn
146.19,972.5,259.5,0,166.5,40,2,1,853,1004130,0,0,0,0,1
29.99,4.666666667,0,0,-15.00692815,38,2,1,1149,1004155,0,0,1,0,0
37.4925,534,0,0,-108,40,1,1,1209,1004166,0,0,1,1,1
24.45,49,0,0.27,48,36,1,1,1073,1004178,0,0,0,1,1
158.485,767.5,471,9.355,-158.5,34,1,1,1039,1004188,0,0,1,0,1
89.5325,245.75,11.75,0.1725,-180.75,38,5,1,219,1004200,0,1,1,1,1
51.4225,266.75,35,0.585,-264.75,36,4,1,59,1004212,0,1,0,1,1
60.1725,304,75,0.48,29,34,2,1,1032,1004287,0,0,1,1,0
317.6925,1855.25,898,0.195,-909.25,40,1,1,763,1004450,0,0,0,0,1
53.9025,378,47.25,0.2925,72,34,3,2,842,1004467,0,1,0,0,1
55.26,331.25,4,0,-0.25,33,7,2,510,1004508,0,0,0,0,1
36.16,85.75,45.75,0,97.25,36,1,1,1080,1004519,0,0,1,1,1
20.405,20.5,1.25,3.04,-11.5,37,2,1,1125,1004531,0,0,0,0,0
86.3525,241,0,39.3675,76,33,1,1,1012,1004606,0,0,1,0,0
46.53,227.25,0,6.415,-170.25,37,4,2,1120,1004612,0,0,1,0,1
70.885,459.25,31.25,0.195,-40.25,39,2,2,943,1004734,0,1,0,1,1
9.75,1.5,1.5,0,-0.5,37,1,1,605,1004969,0,1,0,1,0
88.5375,752.25,88.25,12.2775,-598.25,33,2,2,984,1005081,0,0,0,1,0
40.99,276.75,34,0,-6.75,38,2,1,1155,1005139,0,0,1,0,1
487.3925,3746.75,1437,1.175,-125.75,32,2,2,261,1005284,0,1,0,0,0
78.04,1082.25,118,0,307.75,36,1,1,609,1005340,0,1,0,1,1
8.94,25.5,0,0,-25.5,38,1,1,1147,1005368,0,0,1,1,0
201.5975,1148.75,544.75,1.2675,-147.75,32,1,1,977,1005394,0,0,1,0,0
30.0875,87.25,0,0.0975,-2.25,36,2,1,1084,1005419,0,0,1,1,1
30,5.75,0,0,0.25,38,4,2,1141,1005533,0,0,1,0,0
26.23,99,0,1.12,-81,38,2,2,654,1005599,0,0,0,1,0
30.3825,141,0,0,-14,32,1,1,931,1005684,0,1,0,0,1
30.5175,86,0,1.76,-17,32,2,1,916,1005724,0,0,0,0,1
96.7325,449.25,218.5,0,196.75,36,1,1,1005,1005772,0,0,0,0,1
7.75,2.75,2.75,0,3.25,36,1,1,1072,1005789,0,0,1,1,1
142.3675,783.75,292.25,0,496.25,36,2,1,1071,1005804,0,0,1,0,1
15,29,0,0,-13,34,2,2,1023,1005890,0,0,1,1,1
29.99,0,0,0,0,34,1,1,1022,1005906,0,0,1,1,1
70.055,345.75,91.25,0,-170.75,38,2,1,1129,1005909,0,0,1,0,1
175.7,490.75,0,115.62,257.25,34,1,1,930,1005980,0,0,0,0,1
40.37,2.25,0,0,6.75,38,2,2,1034,1005982,0,1,0,0,0
58.63411388,513.9735097,40.86313317,1.228694398,-15.00692815,38,5,3,1126,1006031,1,1,1,0,1
14.185,4,2.5,0,-4,35,1,1,915,1006100,0,1,0,0,0
85.0875,233.75,0,0.0975,-233.75,33,6,4,786,1006297,0,1,0,1,1
215.4975,1093.5,295.75,89.805,-138.5,37,1,1,567,1006375,0,0,0,0,0
165.5775,735.25,320,0,-246.25,33,1,1,1010,1006382,0,1,1,0,1
250.0825,1533.5,760.25,0,108.5,31,2,2,535,1006383,0,0,0,0,0
185.0875,1434.25,449.5,0,102.75,33,1,1,340,1006661,0,0,0,1,1
45.52,151.25,53,0,156.75,33,1,1,1004,1006678,0,1,1,0,1
33.625,100.5,0,0,-86.5,33,1,1,1004,1006701,0,1,1,0,1
200.3975,1100.5,486.25,9.385,-748.5,31,1,1,940,1006796,0,0,1,1,0
35.845,372.25,0.75,0.5625,-295.25,37,4,2,458,1006899,0,0,0,1,1
96.6275,367.25,177.75,1.725,-4.25,31,2,1,937,1007059,0,0,1,0,0
53.5525,194,60.25,0,48,33,1,1,847,1007292,0,1,0,0,1
34.99,59.5,0,0,-22.5,37,2,1,1102,1007347,0,0,0,0,0
26.66,143.3333333,0,0,-15.00692815,37,1,1,1102,1007373,1,0,1,1,1
29.99,146.75,0,0,-17.75,35,1,1,1041,1007435,0,0,1,1,1
116.27,538.75,290.25,1.2175,352.25,33,4,3,993,1007538,0,0,1,0,1
21.96,29,4.5,0,11,37,1,1,1099,1007590,0,1,1,0,0
51.76,332.75,70,1.275,401.25,37,5,3,767,1007601,0,1,0,0,1
41.115,334.5,17.5,0,138.5,32,4,1,986,1007914,0,0,1,0,1
16.99,3.5,0,0,-3.5,32,2,1,986,1007943,0,0,1,1,0
72.9275,272,85,2.6575,416,34,1,1,1028,1007980,0,0,0,0,1
80.71,108,0,0,32,30,4,2,922,1008015,0,1,1,0,1
63.9375,334,92.75,0,-237,36,2,1,1091,1008048,0,0,1,1,0
175.4175,665.75,461.25,0.32,-665.75,32,2,2,983,1008078,0,0,1,0,1
41.75333333,258,41.33333333,0,-15.00692815,36,1,1,1088,1008177,0,0,1,1,1
34.6725,215.25,2,0.16,12.75,32,4,2,441,1008323,0,0,0,1,0
143.4425,452.25,278,0,67.75,34,1,1,1023,1008394,0,0,1,0,1
23.12,76.25,2.75,0,-11.25,36,2,2,1081,1008510,0,0,1,1,1
365.24,2249,1202.25,0,-21,36,1,1,552,1008574,0,0,0,0,1
125.0475,291.25,273.5,0,87.75,30,1,1,909,1008623,0,0,1,0,1
12.7425,6.75,0,0,-4.75,34,1,1,885,1008694,0,0,0,1,0
5,0,0,0,0,34,1,1,672,1008760,0,0,0,1,1
200.665,1328.5,502.25,0,710.5,34,1,1,692,1008881,0,1,0,0,0
102.3775,571.5,170,0,-2.5,34,1,1,943,1008954,0,1,0,0,0
37.9575,463,20.75,0,-161,32,2,2,575,1009025,0,0,0,1,1
36.745,71,56,0,17,29,1,1,889,1009290,0,0,1,1,1
196.2875,1288.75,340.75,22.235,-45.75,35,1,1,1057,1009325,0,0,1,0,1
34.98,120.75,0,0,-11.75,35,2,1,1057,1009335,0,0,0,0,0
12.21333333,9.333333333,8.666666667,0.213333333,-15.00692815,35,1,1,540,1009496,0,1,0,1,1
30.5975,87.5,0,0,-26.5,31,1,1,414,1009527,0,1,0,1,0
87.4425,874,84.75,11.5775,169,29,4,1,883,1009589,0,0,1,0,1
30,25,0,0,8,33,1,1,596,1009674,0,1,0,1,1
61.0425,500.75,0.25,0,-403.75,33,1,1,547,1009720,0,0,0,1,1
50.44,452.75,1.5,0,53.25,35,2,2,773,1009725,0,0,0,1,1
24.99,28,0,0,-12,33,1,1,596,1009763,0,1,0,1,1
44.955,139,57.5,0,-133,31,1,1,935,1009943,0,0,1,1,0
33.6625,306.5,0,0,391.5,31,1,1,933,1010007,0,0,1,1,1
189.825,2249.75,144,72.8625,-725.75,31,5,3,488,1010018,0,1,0,0,0
24.99,2.666666667,0,0,-15.00692815,34,1,1,1034,1010222,0,0,1,1,1
60.055,459.25,27,0.48,-7.25,30,1,1,707,1010280,0,0,0,1,1
26.33,231.25,15.25,0,-186.25,28,2,2,862,1010321,0,0,0,1,1
75.18,418.5,80.75,0,-418.5,34,1,1,1030,1010371,0,0,1,1,1
35.305,302.75,0,0,-15.75,28,1,1,861,1010374,0,0,1,1,0
50.2375,158.25,0,0,75.75,34,2,1,545,1010401,0,0,0,1,0
49.71,292.5,41.5,0.195,-292.5,34,2,1,1020,1010472,0,1,0,0,1
17.805,9.25,0,0,-4.25,28,1,1,856,1010556,0,0,1,1,1
46.95333333,320.3333333,49.33333333,0,-15.00692815,34,2,1,981,1010611,0,1,0,1,1
25.16666667,177.3333333,20.66666667,0,-15.00692815,34,2,1,1022,1010629,0,0,1,1,1
85.4375,68.25,0.5,0,-41.25,34,3,3,1022,1010646,0,0,1,1,1
504.1575,3261.75,1546.75,0,-898.75,30,1,1,248,1010652,0,0,0,0,1
53.4275,180.5,65.5,0,-180.5,28,2,1,852,1010667,0,0,1,1,1
325.2175,1368.25,935.75,5.85,534.75,28,1,1,116,1010798,0,0,0,0,1
44.5775,62.5,0,0,187.5,28,2,2,845,1010908,0,0,1,1,0
47.2575,279.25,14.75,4.015,10.75,28,3,2,300,1010965,0,1,0,1,1
43.0375,580.25,9.5,0,-110.25,30,3,1,441,1011094,0,0,0,1,1
54.3225,315.25,73.5,0.0975,319.75,30,1,1,901,1011158,0,0,1,1,0
55.46,1785.75,238.75,0,-1372.75,28,1,1,114,1011210,0,1,0,1,1
83.53,287.25,168.25,0,83.75,31,1,1,745,1011357,0,0,0,1,1
51.3175,337.5,0,0,128.5,29,5,3,890,1011512,0,1,1,0,1
102.2925,999.5,180.75,0,335.5,31,4,1,519,1011538,0,1,0,0,1
55.3875,313.75,34.25,4.06,-300.75,33,2,1,990,1011624,0,0,0,1,1
243.4925,1380.25,691.5,0,-1206.25,33,1,1,960,1011633,0,0,0,1,1
30.2475,201.5,0,0,-25.5,33,2,1,810,1011646,0,1,0,0,1
116.6975,501.75,296.25,0,-42.75,29,1,1,880,1011915,0,0,1,0,0
55.0975,595.25,0,0.8975,46.75,27,7,2,817,1011922,0,0,1,0,1
116.0325,1081.25,171.25,0,-969.25,27,1,1,816,1011968,0,0,1,1,1
30.15,18.5,0,0.16,-18.5,31,6,1,924,1011979,0,0,1,0,1
110.26,384.5,226.75,0.39,606.5,27,2,1,691,1011991,0,0,0,0,0
102.9325,893.75,215.5,0,250.25,27,3,3,811,1012152,0,0,1,1,0
426.46,2710.25,852.25,11,-1101.25,33,1,1,976,1012319,0,0,1,0,0
71.265,259.75,4.25,0,-197.75,29,2,2,868,1012362,0,0,1,1,0
36.7175,740.75,3,0,5.25,26,1,1,805,1012370,0,0,1,1,0
200.1675,953.75,348.75,0,-792.75,26,3,2,805,1012401,0,0,1,1,1
5,0,0,0,0,28,1,1,865,1012458,0,0,1,1,1
13.25,8.25,0,0,1.75,28,1,1,865,1012476,0,0,1,1,1
58.63411388,513.9735097,40.86313317,1.228694398,-15.00692815,26,5,2,763,1012658,0,0,0,0,1
130.6075,577.75,282.5,0,373.25,30,2,2,905,1012800,0,0,1,0,1
535.955,2941.5,396.25,201.2375,-61.5,28,2,2,222,1012837,0,1,0,0,0
4.795,0,0,0,0,26,1,1,794,1012926,0,0,1,1,1
214.125,649.25,457.25,13.8,1127.75,28,1,1,848,1012951,0,0,0,0,1
103.7425,12.25,0,0,-12.25,32,4,4,958,1013102,0,0,1,1,0
35.075,117.75,14.25,0.0975,-0.75,30,2,1,897,1013104,0,1,0,0,0
30.2375,46.75,0,0,-1.75,32,2,1,955,1013206,0,0,1,1,1
19.68,371,0,0,-371,28,1,1,845,1013317,0,0,1,1,0
68.6,347.5,67.75,6.5525,-312.5,30,1,1,884,1013560,0,0,1,1,1
10.2475,484.75,0,0,-258.75,28,5,2,423,1013583,0,1,0,0,0
31.725,254.5,0,2.585,45.5,30,2,1,398,1013671,0,1,0,1,1
37.745,184,3.5,0,-31,25,3,1,572,1013687,0,1,0,1,1
89.4625,1731,0,0,-1246,31,11,5,256,1013717,0,1,0,0,1
32.5275,141.5,0,0,-77.5,27,2,2,832,1013819,0,0,1,1,1
17.19666667,3,0,0,-15.00692815,25,1,1,766,1013989,0,1,1,1,0
28.7375,140.25,0,0,157.75,31,1,1,932,1014134,0,0,1,1,0
35.7775,260.5,7.25,0,-151.5,29,1,1,871,1014160,0,0,1,1,1
22.9875,16.5,0,0,-14.5,29,1,0,862,1014260,0,0,0,1,0
29.99,161.75,0,0,6.25,27,1,1,822,1014301,0,0,1,1,1
128.83,416,256,7.83,140,27,1,1,821,1014370,0,0,1,0,1
30.0075,120.75,0,0,-120.75,25,1,1,755,1014665,0,0,1,1,1
41.31,239.75,0,0,87.25,31,2,1,922,1014747,1,0,1,1,1
233.195,1464.25,583.5,0,1897.75,25,2,2,312,1014866,0,0,0,1,1
26.6125,222.25,11,0,-216.25,25,1,1,750,1014909,0,1,1,1,1
855.5025,4034.5,224.25,692.3925,-1641.5,27,1,1,89,1014965,0,1,0,0,1
20.22666667,285.6666667,15.33333333,0,-15.00692815,31,1,1,435,1015259,0,1,0,1,1
19.5975,42.5,3.25,0,-42.5,26,1,1,803,1015343,0,0,1,1,0
320.8125,3012.5,495.5,71.0325,113.5,24,4,1,165,1015355,0,0,0,1,1
47.4475,372.75,49.25,0.0975,-125.75,28,1,1,764,1015372,0,0,0,1,0
31.7275,303.25,9.25,0,-77.25,26,2,1,802,1015399,0,0,1,1,0
28.49,37.75,0,0,1.25,28,6,2,846,1015501,0,0,1,1,0
161.18,519.75,372,0,921.25,30,1,1,907,1015507,0,0,1,0,1
97.1075,556.5,45.5,0,47.5,26,4,2,381,1015523,0,0,0,1,1
31.9825,174.75,0,1.9825,16.25,26,7,1,390,1015544,0,0,0,0,1
163.25,1297,293.5,0,-973,24,1,1,735,1015663,0,0,1,1,0
44.0925,242,13.25,0,-19,30,1,1,902,1015751,0,0,1,1,1
18.7525,6.25,0,0,5.75,26,2,2,783,1015753,0,1,0,0,0
54.305,574,35.25,0,-274,28,1,1,573,1015846,0,0,0,1,1
41.54,300,36.25,0.0975,173,24,1,1,731,1015889,0,0,1,1,1
52.5475,243.75,0,2.1275,-49.75,28,1,1,839,1015901,0,0,1,1,1
30.195,283.25,0,0.195,82.75,28,1,1,837,1015994,0,0,1,1,1
53.4875,72.75,0,0,-12.75,30,2,1,897,1016042,0,1,1,0,1
34.99,15.25,0,0,-15.25,30,5,2,897,1016066,0,0,1,0,1
201.7375,782,78.5,110.91,483,24,1,1,728,1016076,0,0,1,0,1
37.55,295.25,46,0,-199.25,30,2,1,897,1016092,0,0,0,0,1
217.955,1240,546.75,0,316,30,1,1,897,1016098,0,0,1,0,1
43.125,181.5,0,0,-181.5,24,7,3,727,1016106,0,0,1,0,1
10.09,26.5,0,0,-26.5,24,2,2,726,1016178,0,0,1,1,1
121.79,605.25,248,0,438.75,30,2,2,894,1016244,0,0,1,0,1
33.24,98.75,0,0,31.25,28,2,1,833,1016265,0,0,1,1,1
141.1133333,893,204.6666667,16.61666667,-15.00692815,30,5,3,892,1016355,0,0,1,1,0
4.8825,0,0,0,0,24,5,1,723,1016397,0,0,1,0,1
54.5325,130.5,0,4.5325,-28.5,26,2,2,782,1016524,0,0,1,1,0
51.79,157.5,54.5,0,-48.5,28,1,1,499,1016527,0,1,0,1,0
63.48,308.75,9,0,-24.75,24,3,3,500,1016661,0,1,0,1,1
55.03,470.5,1,0,-174.5,24,2,1,335,1016783,0,1,0,1,1
50.2175,377.25,19.25,0,-119.25,28,6,2,520,1016809,0,1,0,0,1
18.62666667,103.6666667,0,0,-15.00692815,24,1,1,716,1016813,0,0,1,1,1
71.755,161.25,61.75,20.1525,228.75,26,2,1,776,1016984,0,0,1,0,1
36.39666667,726,17,0,-15.00692815,30,1,1,883,1016986,0,0,1,1,1
11.25,6.25,6.25,0,1.75,29,2,1,881,1017125,0,0,1,1,0
21.1825,12,2.25,0.2925,-2,27,2,1,818,1017301,0,0,1,1,0
30.375,79,0,0,-1,29,1,1,877,1017418,0,0,1,1,1
60.53,18.75,0,0,8.25,23,8,3,308,1017476,0,1,0,0,1
46.1375,86.5,0,0.16,-36.5,25,1,1,768,1017586,0,0,1,1,1
47.0375,84.25,64,0,-84.25,25,2,2,766,1017726,0,0,1,1,1
42.2375,323.5,26,3.1375,18.5,27,1,1,811,1017818,0,0,1,1,1
44.48,835.5,22.75,0.195,192.5,23,9,2,90,1017845,0,1,0,1,1
37.7475,142,0,0,-117,29,2,2,872,1017847,0,0,1,1,1
116.6175,457.25,113,43.13,-283.25,23,1,1,702,1017857,0,0,1,0,1
248.13,1347.5,620.25,9.6125,234.5,23,1,1,356,1017901,1,1,0,0,0
32.6725,60.75,17.5,0,-47.75,23,1,1,700,1017991,0,0,1,1,1
41.33,140.5,56.5,0.195,421.5,23,2,1,699,1018088,0,0,1,1,1
76.475,864.5,0,0,-98.5,29,3,1,321,1018292,0,1,0,1,1
29.99,43.25,0,0,-13.25,25,1,1,756,1018520,0,0,1,1,1
53.2575,118.5,75.25,0,69.5,23,2,1,694,1018559,0,0,1,1,1
38.9875,100,0,5.5125,-100,27,1,1,801,1018643,0,0,1,1,1
190.7075,1362.25,433.5,0,572.75,29,1,1,589,1018751,0,0,0,1,1
46.9625,529,13.75,0,-21,23,1,1,692,1018763,0,0,1,1,1
206.785,603.25,105.75,139.7825,-603.25,25,1,1,754,1018793,0,0,1,0,1
38.895,176.75,9,0,-107.75,29,1,1,603,1018820,0,1,0,1,1
53.9975,771.5,10.25,0,-497.5,27,4,2,471,1019120,0,0,0,1,0
65.5575,267.5,99.5,0,166.5,25,1,1,750,1019233,0,0,1,1,1
80.525,276.75,6,42.94,-72.75,29,1,1,747,1019497,0,0,0,0,1
170.825,778.25,369.5,0,1606.75,25,2,2,747,1019519,0,0,1,0,0
50.5675,27.5,0,0.5775,-20.5,25,4,2,683,1019703,0,1,0,0,1
146.185,831.75,239.25,0,32.25,27,4,2,792,1019756,0,0,1,0,0
72.825,210.75,112.25,3.54,142.25,22,2,1,682,1019895,0,1,1,0,1
92.0225,403.5,88.25,28.185,-136.5,26,1,1,789,1019982,0,0,0,0,0
94.6325,548,133.5,3.28,378,22,2,2,424,1019987,0,1,0,1,0
75.5925,781,0.25,0,-490,24,1,1,742,1020060,0,0,1,1,0
47.915,177.5,0,0,138.5,22,2,1,680,1020096,0,0,1,1,1
36.305,110,13.75,1.175,-17,22,1,1,667,1020285,0,0,0,1,1
57.9975,776,6,0,355,28,1,1,845,1020335,0,0,1,1,0
33.7375,27.25,0,0,-0.25,26,1,1,784,1020380,0,0,1,1,1
81.555,275.25,144.5,0,-68.25,28,1,1,509,1020565,0,1,0,1,0
228.3375,1442,342.75,0,-287,22,2,2,672,1020622,0,0,1,0,0
48.82,472.75,0,9.5825,-78.75,26,2,2,780,1020631,0,0,1,1,1
331.64,1793,872,61.41,880,28,2,1,122,1020666,1,0,0,0,0
175.7275,1830.5,516.25,0.2925,-668.5,22,1,1,672,1020673,0,0,1,0,1
34.22,293.5,1,0,-37.5,26,3,3,773,1021156,0,0,1,1,1
7.82,3.75,0.75,2.07,5.25,24,1,1,561,1021283,0,0,0,1,1
6.5,1.5,1.5,0,-1.5,28,1,1,832,1021287,0,0,1,1,1
34.81666667,11.66666667,0,4.826666667,-15.00692815,28,1,1,832,1021333,0,0,1,1,0
44.715,917.25,88.5,0,-863.25,28,3,2,403,1021406,0,0,0,1,1
10,5,0,0,-4,24,1,1,723,1021459,0,1,1,1,0
54.5075,456.25,9.25,0,-173.25,24,3,2,319,1021564,0,0,0,1,1
23.57,50.66666667,0,0,-15.00692815,28,1,1,828,1021572,0,0,1,1,1
288.7275,1702.75,767,1.7775,401.25,22,1,1,656,1021826,0,0,1,0,1
30.7325,53.5,0,0,0.5,24,1,1,604,1021869,0,0,0,1,1
30.385,580.25,10.25,0,-50.25,28,1,1,823,1021871,1,1,1,1,0
5,0,0,0,0,24,1,1,716,1021961,0,0,1,1,0
91.515,597.25,118,0,-218.25,28,2,1,822,1022029,0,0,1,1,1
38.115,180.25,18,1.33,-7.25,25,2,1,760,1022147,0,0,1,1,1
5,0,0,0,0,27,3,1,818,1022324,0,1,1,0,1
46.3,77.5,0,0.82,-41.5,27,2,2,818,1022330,0,0,0,1,0
49.165,417,40.5,0,12,25,3,2,755,1022461,0,0,1,1,0
34.845,128.75,3.5,0,58.25,21,1,1,522,1022614,0,0,0,1,0
66.0925,549.5,0,12.885,-201.5,27,1,1,227,1022643,0,1,0,1,1
382.8325,3066.75,806,0,98.25,25,4,1,500,1022681,0,0,0,0,1
450.205,2414.5,679.75,0,-325.5,25,2,1,711,1022850,0,0,0,0,0
35.99,519.75,0,0,2.25,25,1,1,749,1022895,0,0,1,1,0
33.74,567,0,0.2925,-150,23,1,1,302,1023036,0,1,0,1,1
75.24,293,0,0,-293,27,2,1,582,1023046,0,0,0,1,1
33.185,284,0.5,0,32,23,1,1,262,1023128,0,1,0,1,1
84.625,378,165.75,0,110,27,4,1,806,1023250,0,0,1,0,1
24.6225,39.5,19,0,-20.5,27,1,1,792,1023320,0,0,0,1,0
120.05,526.25,225,1.2875,-40.25,21,5,2,515,1023359,0,0,0,0,1
304.545,2589.25,891.5,0,-364.25,23,6,2,67,1023387,0,1,0,0,1
38.24,24,0,0,-1,27,3,1,804,1023400,0,0,0,0,1
17.4025,13.75,0,0,-4.75,25,5,1,743,1023408,0,0,1,0,0
50.935,583.25,0,0,-581.25,21,5,3,348,1023466,0,1,0,0,1
