admire admired
prepare prepared
preserve preserved
press pressed
prevent prevented
pull pulled
pump pumped
punch punched
puncture punctured
punish punished
push pushed
question questioned
race raced
radiate radiated
raise raised
reach reached
reflect reflected
refuse refused
regret regretted
reign reigned
reject rejected
rejoice rejoiced
relax relaxed
remove removed
repair repaired
repeat repeated
replace replaced
reply replied
rescue rescued
retire retired
rhyme rhymes
rinse rinsed
risk risked
rob robbed
roll rolled
rot rotted
rub rubbed
ruin ruined
rush rushed
sail sailed
say said
scare scared
scatter scattered
scold scolded
scorched
scrape scraped
scratch scratched
scream screamed
scribble scribbled
scrub scrubbed
seal sealed
serve served
settle settled
shade shaded
share shared
shave shaved
shelter sheltered
shiver shivered
shock shocked
shop shopped
shrug shrugged
sin sinned
sip sipped
skip skipped
slap slapped
slip slipped
slow slowed
smash smashed
smell smelled
smile smiled
smoke smoked
snatch snatched
sneeze
sniff sniffed
snore
soak soaked
soothe soothed
spark sparked
sparkle sparkled
spill spilled
spoil spoiled
spot spotted
spray sprayed
sprout sprouted
squash squashed
squeak
squeal
squeeze squeezed
stain stained
steer steered
step stepped
stir stirred
stitch stitched
stop stopped
strap strapped
strengthen strengthened
stretch stretched
strip stripped
stroke stroked
subtract subtracted
suffer suffered
surround surrounded
tame tamed
tap tapped
taste tasted
tease teased
terrified
thaw thawed
tick ticked
tickle tickled
tie tied
tip tipped
tire tired
touch touched
tour toured
tow towed
trace traced
trade traded
transport transported
trap trapped
travel traveled
treat treated
tremble trembled
trick tricked
trip tripped
trot trotted
trust trusted
tug tugged
tumble tumbled
turn turned
twist twisted
undress undressed
unite united
unlock unlocked
unpack unpacked
vanish vanished
visit visited
wail wailed
wait waited
walk walked
wander wandered
warn warned
wash washed
waste wasted
wave waved
weigh weighed
whine whined
whip whipped
whirl whirled
whisper whispered
whistle whistled
wink winked
wipe wiped
wish wished
wobble
work worked
wrap wrapped
wreck wrecked
wrestle wrestled
yawn
yell yelled
zip zipped
zoom zoomed
awaken awoke
bend bent
bet 
bid
bite bit
blow blew
break broke
broadcast
build built
catch caught
cost
cut
dig dug
draw drew
drive drove
drink drank
eat ate
fall fell
feel felt
fight fought
forgive forgave
freeze froze
grow grew
hang hung
hear heard
hide hid
hit
hold held
hurt
lay laid
lead led
lend lent
lie lay
lose lost
meet met
pay paid
ride rode
ring rang
rise rose
run ran
see sees
sell sold
shut
sing sang
sit sat
sleep slept
speak spoke
spend spent
stand stood
swim swam
teach taught
tear tore
tell told
think thought
throw threw
wake woke
wear wore
win won
write wrote
get get
