user,text
qataharraymond,"Voting delayed in key opposition strongholds of Kampala, Rukungiri, Wakiso, Kasese and Mbale #UgandaDecideshttps://www.swarmapp.com/c/0357ceoUSwcÂ "
Jonahbyaru1,These are big issues not issues for school debate says @KagutaMuseveni #UGDebate16
Jonahbyaru1,"The president was in my area of jurisdiction - Rubaga
Thank you Rubaga 
#SteadyProgress
#UgandaDecides
#UGDebate16pic.twitter.com/YCQLH4CcLT"
kacungira,@RNiiArdayClegg My pleasure! Thank you for standing with #Ugandahttps://twitter.com/RNiiArdayClegg/status/700290456949813248Â â€¦
SarahKagingo,President #Museveni: Biometric system eliminates multiple voting #UgandaDecides
CynthiaNyamai,Happening Now: @UgandaEc chairman Dr Kiggundu addressing a press conference #UgandaDecides
jkkarungi,The opposition may try to do other forms of cheating but that one we shall fight. M7
kasujja,@enamara - See what you've done..https://twitter.com/nbstv/status/697724588034277376Â â€¦
jkkarungi,i absolutely loved this part! https://twitter.com/FriendsComedy/status/640527530856960000Â â€¦
jkkarungi,Rumor has it...that he might also be there if all his demands are met.https://twitter.com/UGPresDebate/status/697712239839674368Â â€¦
AnishaUwase,How Museveni answered the Congo Question. Museveni you're the best #UgDebate16pic.twitter.com/wIYS8b2Osh
MtwahaN,"Hahahahaha. This has made me laugh, typical English of the Queen:
""It as come to my attention that col Kiza... http://fb.me/4sHCuykw5Â "
kacungira,Hehe.. @Natabaalo The wait continueshttps://twitter.com/Natabaalo/status/700184573586460673Â â€¦
MtwahaN,"Via: Sheikh Yusuf Balinda
Main Opposition (FDC) presidential candidate Kizza Besigye had been detained at Kira... http://fb.me/22MkGIsrBÂ "
CynthiaNyamai,All set for #TTTT LIVE from Kampala shortly on @ntvkenya with @LarryMadowo @idringp @jackieLumbasipic.twitter.com/dhGww2X3J6
SarahKagingo,President #Museveni on tally centres:  They can be there but problem is some people want to announce results! #UgandaDecides 1/2
Jonahbyaru1,"The debate is not the thing,  @KagutaMuseveni is the thing #UGDebate16"
kacungira,@BMawenu Yes he does! It will be epic.
CynthiaNyamai,Kiggundu:Only Uganda Police is in charge of providing security. All parties should  desist from forming such illegal militias #UgandaDecides
Jonahbyaru1,To remind you in case you've forgotten the serviceman on the podium #UGDebate16pic.twitter.com/5mej7SZigS
jkkarungi,bwahahahahaha! Now see!https://twitter.com/kukuwazabanga/status/699637783414120451Â â€¦
SarahKagingo,""" #UGDebate16 @claudi256: @KagutaMuseveni being very smart at approach @SarahKagingo"""
SarahKagingo,"President comes late! ""@masdemian: Mabirizi was either denied an invite in #EmpakaZokugamba or still revising @SarahKagingo"" #UGDebate16"
jkkarungi,ever had moments like these?https://twitter.com/umbreIlas/status/699327472400232448Â â€¦
SarahKagingo,"@UgandaEc Dr. Kiggundu calls for ""calm & patience"" amid delayed delivery of voting material - @nbstv #UgandaDecidespic.twitter.com/6E05JWk5zB"
kasujja,You are the man. Thanks Bro.  Lemme DM you!https://twitter.com/AzRonn/status/698613714543583232Â â€¦
jkkarungi,"So next time u want to be president, ask yourself If u can stand to be embarrassed on national TV in a debate. #UGDebate16"
MtwahaN,"Sironko District: Mafabi strong, Sasaga trails
In Sironko district, Budadiri East incumbent MP Isaiah Wanzira... http://fb.me/IWXUPlhRÂ "
CynthiaNyamai,@KuisanMacharia @UgandaEc I have
kasujja,"Eish
What have you done?https://twitter.com/FDCOfficial1/status/700627531636961280Â â€¦"
SarahKagingo,"Pres #Museveni: ""NRM will win. We have been defeating these people even when we had insurgency.Now whole country is peaceful"" #UgandaDecides"
jkkarungi,"@kawalya2 U carry it, u don't, whichever way seems like a risk."
Snduhukire,The statement you quote is a false statement!! Please cross check with @lindahNabusayi https://twitter.com/TheStarKenya/status/699266755340996609Â â€¦
jkkarungi,@AzRonn Happy Birthday. I just saw all these messages saying today was The Day. May you continue to grow in faith and wisdom.
MtwahaN,http://fb.me/4oP1SlaXWÂ 
AnishaUwase,Preference bosshttps://twitter.com/silwaxxy/status/698154451719290880Â â€¦
jkkarungi,#UGDebate16 there will be peaceful elections in Uganda. Nobody can disrupt our peace. Why do we threaten our people? M7
SarahKagingo,#ACMEMonitor: Ordinary persons among top five most quoted sources in newspaper and TV stories since November 2015 #UgandaDecides
kacungira,@JackyKemigisa You're very kind! I'm sure it will still be great thoughhttps://twitter.com/JackyKemigisa/status/697758328089419776Â â€¦
jkkarungi,Someone please ask Enanga how it is acceptable for a police man to comfortably sit on Nabila. #UgandaDecides
kacungira,Verified? How did this happen?https://twitter.com/emmanuwamanya/status/700308191079436289Â â€¦
SarahKagingo,"Pres #Museveni: ""When I listen to talk here, it confirms one point - there's one person on this platform who can manage Uganda"" #UGDebate16"
jkkarungi,@dodacraig used that for a bit and then....sigh
AnishaUwase,@chandiachristi1 but I never registered because Besigye said we. Should defy. So I defied in full swing then. @AndrewMwenda
Jonahbyaru1,@KagutaMuseveni leads  https://twitter.com/RuthKiN/status/698622806251143168Â â€¦
SarahKagingo,"Earlier: Pres Museveni on allegations made by Dr. Besigye over Uganda's involvement in #DRC, "" do we have a right to respond?"" #UGDebate16"
Jonahbyaru1,The issue about integrations is about prosperity and strategic security says @KagutaMuseveni on @EAC #UGDebate16
qataharraymond,US Embassy statement describes police actions at Najjanankumbi today as 'disproportionate' #UgandaDecides
kasujja,What are the final numbers?https://twitter.com/qataharraymond/status/700657664276172800Â â€¦
AnishaUwase,Besigye can be so uninformed on issues . Read about Congo Mr. @kizzabesigye1 here >> http://observer.ug/features-sp-2084439083/96-special-series/32764--why-i-sent-updf-to-dr-congo--museveniÂ â€¦ #UGDebate16 #UgandaDecides
kacungira,@zurasky It still is. I have a lot of hope and faith in Uganda's future.https://twitter.com/zurasky/status/700251509502668800Â â€¦
jkkarungi,#UgandaDecideshttps://twitter.com/DailyMonitor/status/698074706784686080Â â€¦
AnishaUwase,Jinja wabula
kasujja,Kyalya though... eh! I can't. Time for another cup of tea.
Jonahbyaru1,Whatever @AmamaMbabazi is saying has been fulfilled but he is ideologically insecure  #UGDebate16
AnishaUwase,Shaka : Mr. Mbabazi your manifesto is pessimistic but it needs to be realistic. #UGDebate16 #UgandaDecides
AnishaUwase,"When Mbabazi while visiting a village health centre uses ""Its unfortunate"" . #UgandaDecidespic.twitter.com/3Er7Ks7471"
Jonahbyaru1,@henryssenyonjo @Charlie_Kemi @Snduhukire @nyamadon @Jadwong it is the only government that has maintained a peaceful #Uganda for 30 years
SarahKagingo,"#Museveni: During freedom struggle, two drunk soldiers killed people. Someone defended them saying the alcohol in them killed #UGDebate16 /1"
kasujja,"@gloss23 Gloria, ani abikugambye?"
Snduhukire,On blocking social Media: That must b steps taken 4security. Some people misuse it. It's in order that Authorities restrict it sometimes- M7
qataharraymond,"@NoirEnBlanca but Evelyn, my dearest, buy earphones ...."
MtwahaN,http://fb.me/3bwfmNRxXÂ 
Jonahbyaru1,Did you know that @AmamaMbabazi only visited one hospital during his time in office. Lets be accountable of what we did #UGDebate16
AnishaUwase,@VillageBelle256 thanks for voting him
CynthiaNyamai,My favorite photo as Ugandans vote is of this lovely elderly lady who turned up early morning #UgandaDecidespic.twitter.com/S9pIUqDWhs
MtwahaN,"Yoweri Kaguta Museveni is different from Mabirizi, How???
He starts small and ends big. Mabirizi begins from top... http://fb.me/4m9AqvystÂ "
SarahKagingo,President #Museveni along Kampala's Speke Road headed for rally at Makerere University #UgandaDecidespic.twitter.com/0Ndg7SKb8U
jkkarungi,"@richard16735652 Call me whatever you like. I am not certain color relates to harassment, but, your call."
jkkarungi,Especially in Kampala they have been voting very mny times. So there was always cheating in Kampala by the opposition. M7
qataharraymond,Where are the bloggers in this election?
kasujja,@kristofa28 who are you talking about?
SarahKagingo,"If u don't cast your vote, u cast it 4 your preferred candidate's opponent! Honour your vote #Topowa #UgandaDecidespic.twitter.com/XTYvrtHRzZ"
kacungira,@JenifaOchwo These delays require an explanation @UgandaEc @jktaremwa @UCC_Official
MtwahaN,"At the close of today, we had managed 314 rallies across the country without any serious bottlenecks. Whereas... http://fb.me/SAGsQThSÂ "
Jonahbyaru1,The next candidate is Benon Biraro #UGDebate16
Snduhukire,"There are some Media houses that have been relaying results. We have already directed UCC to take charge of this irresponsibility"" - EC C/M"
SarahKagingo,"Pres #Museveni: ""First, East Africa federation is about two things; Prosperity of our people and strategic security"" #UGDebate16"
SarahKagingo,"Day after polls, business on road to border with #Kenya  #UgandansForPeace #UgandaDecides #LetPeacePrevailpic.twitter.com/cJadvN9tOh"
kacungira,What's the charge?https://twitter.com/DailyMonitor/status/700631792445829121Â â€¦
kacungira,@Bohani21 Yes. He's been 'detained'
SarahKagingo,@VOAShaka to candidates: What is the single most important decision you've made in your life & single most regrettable decision? #UGDebate16
jkkarungi,@sbabigumira that justifies the police officers action?
jkkarungi,@gyezimania runs there*
kacungira,What does colonialism look like on the web?http://www.theatlantic.com/technology/archive/2016/02/facebook-and-the-new-colonialism/462393/?utm_source=SFFBÂ â€¦
MtwahaN,"The excuses have started. Moral of the story: Don't ask for what you don't want to hear. #UGDebate16  
Now that... http://fb.me/49mcQzObRÂ "
MtwahaN,"21:30, Iganga District.
Within an hour, I hope to be in Mbale, inn sha Allah."
SarahKagingo,President #Museveni met EAC Observers headed by former #Tanzania President Hassan Mwinyi ahead of #UgandaDecidespic.twitter.com/3BquQ5A99h
AnishaUwase,No way - MAGIC
jkkarungi,"""At any given moment, You have the power to say this is NOT how the story is going to end."" Some wise person"
qataharraymond,"@Samwyri eh, gampe!"
jkkarungi,"@mtnug Really????? Well, i shall continue to ask until someone is kind..no, until someone cares enough to respond.https://twitter.com/andsjeff/status/698076394161618944Â â€¦"
kacungira,@zurasky Thanks!
jkkarungi,@andrewbagala Thanks Andrew.
qataharraymond,"From Ruhinda: Kahinda Otafiire, the justice minister loses the election to his fierce rival Kahonda Dononzio #UgandaDecides"
Jonahbyaru1,Naye Mabirizi how are terms limits related to regional integration #UGDebate16
MtwahaN,"Trust me, @Mourinho is going to be the Best or the Worst solution to our woes. Till Giggs comes back"
Jonahbyaru1,@ByamugishaMoses @AnneMugisha is P10 a group of lawyers to demand for the release of anyone. #BesigyeBehave
kacungira,Aww! Thanks @Twonjexhttps://twitter.com/Twonjex/status/697708181410226176Â â€¦
SarahKagingo,"Pres #Museveni: We have had problems like corruption, theft of drugs from hospitals. We,however,have successes; electricity.. #UgandaDecides"
AnishaUwase,The question is to avail yourself and people will choose - Museveni #UGDebate16pic.twitter.com/PCEohaEO8V
AnishaUwase,"According to UOT a radical Museveni supporter is a BOT , and its not the case for Besigye supporters. Nosensehttps://twitter.com/ptwino/status/698034704105259008Â â€¦"
MtwahaN,"One of the shortcomings of the #UgDebate16:
The Inter-Religious Council, didn't prepare any question on the... http://fb.me/74p4mcfCiÂ "
AnishaUwase,"Janet and Museveni during one of the rallies, Thick and thin. #UGDebate16 #UgandaDecidespic.twitter.com/cV1qBogSTT"
kacungira,@Sudhirntv Your account was shut down?https://twitter.com/Sudhirntv/status/700191204818952192Â â€¦
qataharraymond,"@amgodiva I dint qualify for young and sexy, neither do I take whiskey but would you hang with me?"
CynthiaNyamai,@KagutaMuseveni: The last time ADF was here they came 100 but only 13 went back  #UGDebate16 #UgandaDecidespic.twitter.com/MjumUpW7Kj
AnishaUwase,And yours without talking about NRM or Museveni ? Boring TLhttps://twitter.com/silwaxxy/status/698154582464208896Â â€¦
AnishaUwase,Rwanda's Velo Velo by @TetaiRwanda playing in Desert Lounge in Uganda. Good zong. #EastAfrica
CynthiaNyamai,@KagutaMuseveni - Oil was discovered by NRM under my direct Command. I trained the scientists between 86 and 89. #UGDebate16 #UgandaDecides
jkkarungi,@kakairewilber @kizzabesigye1 nope...didnt see it! How did i not see it?
jkkarungi,Did i ever say how i appreciate these guys online team? Efficiency is to always be appreciated.https://twitter.com/URAuganda/status/697699651944902656Â â€¦
Jonahbyaru1,It is very important to acknowledge the achievements so far by the @NRMOnline #UGDebate16
AnishaUwase,"Valentines Playlist
Akaserengeto"
MtwahaN,Jinja is all yellow. . . . .this is a good reception for our Yellow Crusade.
Snduhukire,"""The assumption that President Museveni will win the election is way above the mark. He will not win."" - Mbabazi to BBC #UgandaDecides"
MtwahaN,"@NRMOnline 
M7; There will be no violence. If anybody tries, the law will deal with him decisively. #UgandaDecides"
jkkarungi,but that red gown...https://twitter.com/IChoosePeaceUG/status/699223751129505792Â â€¦
AnishaUwase,When I grow up I want to be like Gatrudi Tusiime Uwitware @Uwitware
Jonahbyaru1,#UGDebate16 #UgandaDecideshttps://twitter.com/twinamasiko/status/698622088521904129Â â€¦
jkkarungi,He definitely knows how to get the world talking.https://twitter.com/africareview/status/699184505207263232Â â€¦
qataharraymond,"To the question of whether he is afraid to announce any result besides a win for the incumbent, ""I'll announce""pic.twitter.com/ziJqTjiCLe"
jkkarungi,@Codongtho @mauriceochol @KagutaMuseveni @ntvuganda How many other people are allowed to play football in the middle of the road fwaah?
kasujja,John McAfee offers to unlock killer's iPhone for FBIhttp://www.bbc.co.uk/news/technology-35611763Â â€¦
qataharraymond,@Bas_Bossa yo! @like_a_gem
jkkarungi,"Don't b ashamed of the color u wear (Yellow, Blue, Orange, Red). Unless u have somethin 2 hide.Don't look down in photos & smile sheepishly."
SarahKagingo,Reach the Women Situation Room on toll free helpline 0800 333 111. Report election related violence incidents #UgWomen4Peace #UgandaDecides
Jonahbyaru1,Surely @KagutaMuseveni wins this debate  #UGDebate16
Jonahbyaru1,Candidate Museveni is winning this debate  #UGDebate16
SarahKagingo,Candidate Mbabazi single most regrettable decision: Not resisting dictatorship whenever it showed its face #UGDebate16
Snduhukire,Mzee M7 won't be mincing his words tonight. His tone suggests so..But first let's go back into history #UGDebate16
SarahKagingo,#Kayoola: Africa's first #Solar Bus #MadeinUganda on red carpet at Serena for its launch #GoGreen #renewableenergypic.twitter.com/kQXsbdRMut
SarahKagingo,#ACMEMonitor: @ntvuganda gave equal time to all Presidential candidates #UgandaDecidespic.twitter.com/xz47agqM5Y
qataharraymond,@Samwyri @pmagelah @_pensioner kambasaalize mu....pic.twitter.com/727kNQnCZy
SarahKagingo,600 MW hydropower dam under construction #TransformingUG #TransformingEA #UgandaDecidespic.twitter.com/AJ7PwSg3gW
SarahKagingo,"On VPN ""@chemosi_: @sarahkagingo how's your twitter still on #UgandaDecides ?"""
jkkarungi,nicely said. Key words...wise counsel all around.https://twitter.com/WereFagayo/status/699274140650500096Â â€¦
AnishaUwase,NTV Kuhumuza story shows the love of Mothers. Thanks @Uwitware for the story. Pass the mums number please.
AnishaUwase,By the way did Ingrid Turinawe attend the #UGDebate16 ?pic.twitter.com/EZy2II6oDb
kasujja,All hands on deck. Whatever the chanel/platform. Write it in terms sand if you have to.https://twitter.com/AzRonn/status/699834785670262784Â â€¦
jkkarungi,#UgandaDecideshttps://twitter.com/DailyMonitor/status/699172347073470468Â â€¦
AnishaUwase,You can use all the words to describe him but you will conclude with the fact coz you know it. #UgandaDecidespic.twitter.com/4mhJfPWvaz
AnishaUwase,A discussion between Besigye and Mbabazi on hearing News of Museveni attending #Ugdebate16 #UgandaDecides #Ugandapic.twitter.com/FsUjYqeicv
qataharraymond,Sit down!https://twitter.com/Arsenal/status/698868077916770305Â â€¦
CynthiaNyamai,"Vote counting begins in Luweero, in Kibaale #UgandaDecides"
MtwahaN,Goodnight Yellow Family.
jkkarungi,It's only hours to go. Let's decide what we want for our country. #topowapic.twitter.com/xs5dB1ATZf
SarahKagingo,"Pres #Museveni: If you construct a hotel, it's ur wealth, but creates jobs.Our children should know that wealth creates jobs #UgandaDecides"
SarahKagingo,"Pres #Museveni @FirstLadyUganda those days. Behind every successful man, there is a woman... #UgandaDecidespic.twitter.com/ottaxtdtBQ"
AnishaUwase,Winnie Byanyima pressing hard Besigye for his cheap talk is from way back. #UgandaDecidespic.twitter.com/YWWjmhkTrY
qataharraymond,@CharlNSalome yes I am. @CitizensideFR
SarahKagingo,Pres #Museveni: Energy from the sun in a year is 50 x more than generated from hydropower stations in the world #KayoolaSolarBus #innovation
MtwahaN,"Retweeted @AlexMuhangi 
Our SST teachers lied!! The Yellow in the Uganda flag symbolizes NRM. #VoteSevo #SteadyProgress."
qataharraymond,BVVS kit PINs for different polling stations mixed up in Kasese. Voting is yet to begin.... https://www.swarmapp.com/c/bf1MvCdDdIYÂ pic.twitter.com/4TW2SwGk0T
jkkarungi,#UgandaDecideshttps://twitter.com/UgandaMediaCent/status/699249363755933696Â â€¦
Snduhukire,Follow my colleague @Sudhirntv Live from the home of FDC Candidate Dr Kizza Besigye. #UgandaDecides
MtwahaN,http://fb.me/5dq3leCytÂ 
qataharraymond,"@AzRonn happy birthday Ronn. you have taught me many lessons in life, keep on keeping on"
AnishaUwase,"The cheers of Museveni's name announcement, Thank you ! #UGDebate16"
AnishaUwase,"@andsjeff 
ME: Arriving like a a boss for #UGDebate16pic.twitter.com/hKfOD5lOFR"
SarahKagingo,"President #Museveni: ""Finally, there will be peaceful elections in Uganda. Nobody can disturb our peace"" #UGDebate16 #UgandaDecides"
MtwahaN,"NRM is leading in Kanungu district.
Museveni leading
James Kaberuka Kinkizi West Leading.
Dr. Chris Baryomunsi... http://fb.me/76cSYLmZhÂ "
jkkarungi,Dr. Besigye held at Kira road Police. Supporters standing outside demanding he be released. @qataharraymond reporting live on NTV@One.
kacungira,But I've just received replies from at least 3 different polling stations saying voting hasn't begun?https://twitter.com/Jonahbyaru1/status/700257395130396673Â â€¦
kacungira,Several people telling me they can't access Facebook or Twitter. #UgandaDecideshttps://twitter.com/babirukamu/status/700182669599055873Â â€¦
MtwahaN,Islam is such a beauty.. http://fb.me/3QR67VlizÂ 
MtwahaN,So M7 is going to Mbale tomorrow?
jkkarungi,@AzRonn clearly u are not on Facebook.  A wise man you are.
kasujja,You are assuming he was thinkinghttps://twitter.com/SamsonKasumba/status/699294366653874177Â â€¦
jkkarungi,@kyakwambala Language my friend. You do not have to curse to be heard.
MtwahaN,"I am using a Nokia 100. Without even VPN, i am able to access Social Media. #IVoted Museveni"
Snduhukire,LIVE on #Periscope: Releasing of Presidential results https://www.pscp.tv/w/aZY_QjEyMDEzMDI0fDFsUEtxUFlnb2JMeGLHtzGJWUFanwyoBipcb4ZuHaDAJ6qU2kR1-3fKozzYpw==Â â€¦
AnishaUwase,Pictures from the Museveni final rally from Kampala for #UgandaDecides People say #VoteSevo #SteadyProgresspic.twitter.com/0Qn10NozSY
SarahKagingo,"Pres #Museveni: We defeated ADF, secured Rwenzori region. Dr. Besigye can go there & campaign as he likes in a peaceful c'ntry #UGDebate16"
kacungira,@Bohani21 Not a good start. But we hold on to hope for the future
SarahKagingo,Blazing hot! Await my turn to vote in long queue at Ssekindi village polling station in Muyenga #UgandaDecidespic.twitter.com/iAXTHVi6d7
