Film,re-release,Revenue,Production Cost,DistCost,Cost,Profit,Year,PercentProfit
WHAT PRICE HOLL,0,571,616,205,821,-50,1932,-6.1
HOLD'EM JAIL,0,511,408,158,566,-55,1933,-9.7
MARY OF SCOTLAN,0,1276,864,577,1441,-165,1936,-11.5
YOUNG DONAVON'S,0,618,279,439,718,-100,1931,-13.9
LOST SQUADRON[*],1,732,621,236,857,-125,1932,-14.6
SILVER HORDE,0,562,423,239,662,-100,1931,-15.1
LIFE OF THE PAR,0,584,489,206,695,-111,1938,-16
SWISS FAMILY RO,0,890,681,389,1070,-180,1940,-16.8
LIVING ON LOVE,0,135,112,51,163,-28,1938,-17.2
ANIMAL KINGDOM,0,528,458,180,638,-110,1933,-17.2
WISE GIRL,0,490,448,156,604,-114,1938,-18.9
LADY WITH A PAS,0,595,541,194,735,-140,1932,-19
LAST DAYS OF P[*],1,980,818,399,1217,-237,1935,-19.5
AFTER TONIGHT,0,380,355,125,480,-100,1933,-20.8
HAVING A WONDER,0,1008,966,309,1275,-267,1938,-20.9
GIRL CRAZY,0,555,532,173,705,-150,1932,-21.3
QUICK MONEY,0,135,120,52,172,-37,1938,-21.5
JOY OF LIVING,0,1137,1086,365,1451,-314,1938,-21.6
TOO MANY WIVES,0,122,105,52,157,-35,1937,-22.3
ALLEGHENY UPRIS,0,750,696,284,980,-230,1940,-23.5
THEY KNEW WHAT,0,932,781,442,1223,-291,1941,-23.8
VIGIL IN THE NI,0,1004,920,411,1331,-327,1940,-24.6
BRINGING UP THE BA[*],1,1109,1073,401,1474,-365,1937,-24.8
BIRD OF PARADIS,0,753,752,251,1003,-250,1932,-24.9
NEW FAGES OF 1931,0,775,728,305,1033,-258,1937,-25
WOMEN I LOVE,0,783,725,324,1049,-266,1937,-25.4
CONSPIRACY,0,138,118,70,188,-50,1930,-26.6
GASE OF SGT GRI,0,456,467,159,626,-170,1930,-27.2
ROOM SERVIGE,0,875,884,321,1205,-330,1939,-27.4
WOMAN REBELS,0,583,574,231,805,-222,1936,-27.6
DIXIANA,0,780,747,333,1080,-300,1931,-27.8
RADIO CITY REV,0,750,810,240,1050,-300,1938,-28.6
CIMARRON[*],1,1383,1433,515,1948,-565,1931,-29
CONQUERORS,0,528,619,139,758,-230,1933,-30.3
TOAST OF NEW YO,0,1048,1072,506,1578,-530,1937,-33.6
I DREAM TOO MUC,0,640,627,363,990,-350,1936,-35.4
HIS FAMILY TREE,0,116,127,54,181,-65,1936,-35.9
BEAU IDEAL,0,575,707,198,905,-330,1931,-36.5
MAN OF TWO WORL,0,308,388,140,528,-220,1934,-41.7
SILVIA SCARLET,0,497,641,219,860,-362,1936,-42.1
CAPTAIN HURRICA,0,150,208,68,276,-126,1935,-45.7
GAY DIPLOMAT,0,131,184,62,246,-115,1931,-46.7
HITTING A NEW H,0,488,727,192,919,-431,1938,-46.9
TWO ALONE,0,164,236,86,322,-158,1934,-49.1
WOMAN COMANDS,0,242,415,92,507,-265,1932,-52.3
ABE LINCOLN IN,0,666,1004,402,1406,-740,1940,-52.6
ENCHANTED APRIL,0,165,346,79,,-260,1935,-61.2
