id,title,authors,ISBN13,pages,publisher,publishedYear,publishedMonth,publishedDay
114,C++ For Java Programmers / Edition 1,Timothy A. Budd,9780201612462,290,Pearson,1999,3,23
115,"Opium to Java: Revenue Farming and Chinese Enterprise in Colonial Indonesia, 1860-1910: Revenue Farming and Chinese Enterprise in Colonial Indonesia, 1860-1910",James Rush,9780801422188,281,Cornell University Press,1990,7,1
116,Programming the Internet with Java,"Darrel Ince,Adam Freeman,Adam Freeman",9780201398441,400,Addison Wesley,1998,9,21
117,"The Java Virtual Machine Specification, Java SE 7 Edition",Tim Lindholm,9780133260465,608,Pearson Education,2013,2,15
118,Islamic States in Java 1500-1700: Eight Dutch Books and Articles by Dr H.J. de Graaf,Theodore Gauthier Th. Pigeaud,9789401571890,1976,Springer Netherlands,2014,4,30
119,Ready-Made Java 2 Applications for File Maintenance: Templates 2000 for Java 1.2,Emilio Aleu,9780759693708,332,Authorhouse,2002,6,28
120,Java 2,Ralph Steyer,9780130321442,543,Pearson Professional Education,2000,10,31
121,Object-Oriented Discrete-Event Simulation with Java: A Practical Introduction,Jose M. Garrido,9781461354956,256,Springer US,2013,12,31
122,Borobudur Temple Yogyakarta Java Indonesia Journal: 150 page lined notebook/diary,Cool Image,9781536967418,152,CreateSpace Publishing,2016,8,8
123,Program Linguists Java Tech P / Edition 1,Michael Hammond,9780631230427,224,Wiley,2002,5,24
124,Gentry: Social Change in Java: the Tale of a Family,Umar Kayam,9780987463722,270,Vladislav V Zhukov,2014,12,28
125,Graphics Programming with Java,Roger T. Stevens,9781886801622,400,Cengage Delmar Learning,1997,5,1
126,Interdisciplinary Computing in Java Programming / Edition 1,Sun-Chong Wang,9781402075131,2003,Springer US,2007,10,30
127,Java ME on Symbian OS: Inside the Smartphone Model,Roy Ben Hayun,9780470743188,482,Wiley,2009,3,17
128,Java for Bioinformatics and Biomedical Applications / Edition 1,"Harshawardhan Bal,Johnny Hujol",9781441942456,342,Springer US,2010,10,29
129,Java Software Solutions: Foundations of Program Design / Edition 2,"John Lewis (5),William Loftus",9780201612714,780,Addison-Wesley,1999,12,28
130,Professional Java Custom Ui Components,"KRUTSCH,Virginia Howlett,David S. Cargo,Virginia Howlett,David S. Cargo",9781861003645,600,Apress,2001,8,1
131,"Isles of the East: An Illustrated Guide; Australia, Papua, Java, Sumatra, Singapore, Etc (Classic Reprint)",W. Lorck,9781332942077,362,FB &c Ltd,2016,6,26
132,Programming Language with Java Package / Edition 2,Ravi Sethi,9780321193711,0,Addison-Wesley,2002,12,28
133,Compiling with C# and Java,Pat D. Terry,9780321263605,624,Longman Publishing Group,2005,3,1
134,"Ordinary and Partial Differential Equation Routines in C, C++, FORTRAN, Java, Maple, and MATLAB","H.J. Lee,W.E. Schiesser,W. E. Schiesser",9781584884231,528,Taylor & Francis,2003,11,21
135,Music in Java,"Jaap Kunst,E. D. Kunst,E. L. Heins",9789024715190,678,Nijhoff,1987,2,28
136,Java Programming with NetBeans for A-level Computer Science,Graham Hall,9781326406479,528,Lulu.com,2015,8,30
137,"Mountain flora of Java, 2nd edition / Edition 2","Steenis,Moehamad Toha,Amir Hamzah",9789004153479,240,"Brill Academic Publishers, Inc.",2006,11,14
138,"The JavaScript Developer's Resource: Client-Side Programming Using HTML, Netscape Plug-Ins and Java Applets","Kamran Husain,Jason Levitt",9780132679237,608,Prentice Hall Professional Technical Reference,1996,11,28
139,Implementierung einer GUI-Applikation zur optimalen Zuordnung von Studenten mittels Java/Swing,Markus Moser,9783640836765,0,GRIN Verlag GmbH,2011,1,1
140,A Visit To Java: With An Account Of The Founding Of Singapore (1893),William Basil Worsfold,9781166473129,332,Kessinger Publishing Company,2010,9,10
141,Java 2: A Beginner's Guide Instructor's Manual,Herbert Schildt,9780072190298,229,McGraw-Hill Osborne,2001,6,28
142,Concurrent and Distributed Computing in Java / Edition 1,Vijay K. Garg,9780471432302,336,Wiley,2004,2,4
143,"Exploring Java, 2nd Edition","Patrick Niemeyer,Josh Peck,Joshua Peck",9781565922716,614,"O'Reilly Media, Incorporated",1997,9,8
144,Die Triangulation von Java,Jan Abraham Christian Oudemans,9783742854360,570,Hansebooks,2016,8,29
145,Mobile 3D Graphics: Learning 3D Graphics with the Java Micro Edition / Edition 1,Claus H?fele,9781598632927,480,Cengage Learning,2007,3,1
146,Pro JPA 2: Mastering the Java Persistence API,Mike Keith,9781430219576,500,Apress,2009,12,3
147,"The Voyage of Francois Leguat of Bresse, to Rodriguez, Mauritius, Java, and the Cape of Good Hope, Volume 2; Volume 83","Hakluyt Society,Samuel Pasfield Oliver",9781358333637,340,Palala Press,2016,5,28
148,Java Servlet Programming / Edition 2,"Jason Hunter,William Crawford",9780596000400,782,"O'Reilly Media, Incorporated",2001,4,9
149,The Lost Temple of Java,Phil Grabsky,9781841880587,144,Seven Dials,2000,8,28
150,Java: A Beginner's Guide,Herbert Schildt,9780072231892,648,"McGraw-Hill Companies, The",2005,3,4
151,"Java Network Programming, Second Edition",Elliotte Rusty Harold,9781565928701,760,"O'Reilly Media, Incorporated",2000,8,1
152,The Java OS Design and Architecture,"Tom Saulpaugh,Charles A. Mirho,Tom Clements,Tom Saulpaugh,Charles Mirho",9780201183931,208,Addison-Wesley,1999,1,25
153,Java : Learn The Way How Your Brain Works.,Harry. H. Chaudhary.,2940046256710,0,Harry & Associates.,2014,9,14
154,"The Unified Process for Practitioners: Objected-Oriented Design, UML and Java","John Hunt,J. Hunt",9781852332754,282,"Springer-Verlag New York, LLC",2000,6,28
155,Java 2 by Example,"Jeff Friesen,Jeff Friesen",9780789725936,829,Que,2001,12,28
156,The Hidden Force: A Story Of Modern Java! A Literary Classic By Louis Couperus!,Louis Couperus,2940013397996,0,BDP,2011,9,22
157,OOPS Using Java from the Beginning,"Dev Gupta Keshav,Joshi Jitendra",9783659394065,336,OmniScriptum GmbH & Co. KG,2014,7,3
158,"Java, the Garden of the East",Scidmore Eliza Ruhamah 1856-1928,9781290995092,374,HardPress Publishing,2013,1,28
159,Report on Investigations Made in Java in the Year 1902 (Classic Reprint),Elmer Drew Merrill,9781331918196,112,FB &c Ltd,2015,7,21
160,Java Precisely / Edition 2,Peter Sestoft,9780262693257,168,MIT Press,2005,6,28
161,Mastering Microservices with Java,Sourabh Sharma,9781785285172,258,Packt Publishing,2016,6,30
162,Data Structures and the Java Collections Framework,William Collins,9780072823790,784,McGraw-Hill Higher Education,2004,4,16
163,ADVANCED JAVA,Jitendra Patel,9782765926054,0,Osmora Inc.,2016,1,27
164,"A First Course in Scientific Computing: Symbolic, Graphic, and Numeric Modeling Using Maple, Java, Mathematica, and Fortran90 / Edition 1",Rubin H. Landau,9780691121833,472,Princeton University Press,2005,4,11
165,Object-Oriented design in Java Using Java.Util / Edition 1,Nicholas J. De Lillo,9780534377847,480,Brooks/Cole,2003,11,28
166,Apache Jakarta Commons: Reusable Java Components,Will Iverson,9780131478305,338,Prentice Hall Professional Technical Reference,2005,2,11
167,"Cambodge Et Java: Ruines Khmeres Et Javanaises, 1893-1894",Sans Auteur,9782012945593,240,HACHETTE LIVRE - BNF,2013,5,5
168,The Conquest of Java,William Thorn,9781462904709,461,Tuttle Publishing,2004,3,15
169,Java 1.2 & Javascript for C/C++ Programmers,"Michael C. Daconta,Al Saganich,Eric Monk,Martin Snyder",9780471183594,704,Wiley,1998,2,28
170,"Music in Java: Its History, Its Theory and Its Technique",J. Kunst,9789401080538,251,Springer Netherlands,2014,9,12
171,Java 2 From Scratch,"Steven Haines,Jesse Liberty",9780789721730,680,Que,1999,10,22
172,Java: Complete Course in Programming & Problem Solving / Edition 1,"Kenneth Lambert,Martin Osborne",9780538687072,480,Cengage Learning,1998,12,10
173,Just Do It!: Stories from Spiritual Java,Kevin Dedmon,9780768486674,14,"Destiny Image, Inc.",2012,6,28
174,Java 2 Weekend Crash Course with Cdrom,"Julio Sanchez,Maria P. Canton",9780764547683,0,Wiley,2000,12,28
175,"Java for the Web with Servlets, JSP, and EJB: A Developer's Guide to Scalable J2EE Solutions",Budi Kurniawan,9780735711952,953,Sams,2002,4,28
176,Java Concise Reference Series: Fundamental Classes,Newport House Books,9780981840246,802,Newport House Books,2008,6,28
177,Java,PALMER,9781861004222,1248,Apress,2000,3,1
178,L'Ile de Java: Histoire de 1682 (Ed.1877),Cordellier-Delanoue-E,9782013269223,218,HACHETTE LIVRE - BNF,2013,7,6
179,Absolute Java: Covers Java 5.0 / Edition 2,Walter Savitch,9780321330246,1216,Addison Wesley,2005,4,8
180,"Overzicht Van De Ziekten Van Het Suikerriet Op Java, Part 2: Vijanden Uit Het Dierenrijk (1897)",L. Zehntner,9781168016188,56,Kessinger Publishing Company,2010,9,10
181,"Of Palm Wine, Women and War: The Mongolian Naval Expedition to Java in the 13th Century",David W. Bade,9789814517829,342,Institute of Southeast Asian Studies,2013,9,5
182,Data Abstraction and Problem Solving with Java,"Frank M. Carrano,Janet J. Prichard",9780321364111,912,Addison-Wesley,2006,1,1
183,Objects First With Java: A Practical Introduction Using BlueJ / Edition 3,"David J. Barnes,Michael Kolling,Michael Kolling",9780131976290,520,Prentice Hall,2006,5,29
184,Thinking in Java,Bruce Eckel,9780136597230,1098,Prentice Hall Professional Technical Reference,1998,2,19
185,Data Structures In Java: A Laboratory Course / Edition 1,"Sandra Andersen,Roberge",9780763718169,432,Jones & Bartlett Learning,2001,11,29
186,"Amenagement Des Eaux a Java, Irrigation Des Rizieres, Rapport Etabli, Suite D'Une Mission D'Etudes",Bernard-F,9782013693523,118,Hachette Livre - BNF,2016,4,28
187,"Organising under the Revolution: Unions and the State in Java, 1945-48",Jafar Suryomenggolo,9789971696962,232,Nus Press Pte Ltd,2013,2,1
188,Beginning Java EE 6 with GlassFish 3,Antonio Goncalves,9781430228905,536,Apress,2010,8,23
189,Special Edition Using Java,Joseph Weber,9780789709363,1152,Que,1996,10,28
190,Java 5.0 Program Design: An Introduction to Programming and Object-Oriented Design,"James P. Cohoon,Jack W. Davidson",9780072961133,919,"McGraw-Hill Companies, The",2005,7,28
191,Java and the as/400: Practical Examples for the Iseries and as/400,Daniel Darnell,9781583040935,347,Twenty Ninth Street Press,2002,9,28
192,MongoDB for Java Developers,Jack A Humphreys,9781516946686,108,CreateSpace Publishing,2015,8,19
193,Java Programming Introductory Concepts and Techniques,"Gary B. Shelly,Thomas J. Cashman,Joy L. Starks",9780789559593,232,"Course Technology, Inc.",2000,8,1
194,Fundamentals of Java: Introductory / Edition 2,"Ken Lambert,Martin Osborne",9780619059743,648,Cengage Learning,2002,7,28
195,"Beginning JSP , JSF and Tomcat Web Development: From Novice to Professional","Giulio Zambon,Michael Sekler",9781590599044,448,Apress,2007,11,27
196,Full-Bodied,Piper Woods,2940150718616,0,Piper Woods,2014,10,7
197,Java 8 Lambdas: Pragmatic Functional Programming,Richard Warburton,9781449370770,182,"O'Reilly Media, Incorporated",2014,4,7
198,Jasperreports 3.5 For Java Developers,David Heffelfinger,9781847198082,368,Packt Publishing,2009,8,17
199,Building Java Programs: A Back to Basics Approach Plus MyProgrammingLab with Pearson eText -- Access Card Package / Edition 4,"Stuart Reges,Marty Stepp",9780134448305,1176,Pearson,2016,4,5
200,"Kinect Open Source Programming Secrets: Hacking the Kinect with OpenNI, NITE, and Java",Andrew Davison,9780071783170,336,McGraw-Hill Professional Publishing,2012,5,15
201,Principles of Programming: Java Level 1,Jonathan Frank,9781514430385,100,Xlibris Corporation,2015,12,23
202,Java 7 Recipes: A Problem-Solution Approach,"Josh Juneau,Mark Beaty,Carl Dea,Freddy Guime,John OConner",9781430240563,872,Apress,2012,2,12
203,Guide to Java: A Concise Introduction to Programming,"James T. Streib,Takako Soma",9781447163169,358,Springer London,2014,3,11
204,Java Performance / Edition 1,"Charlie Hunt,Binu John,David Dagastine",9780137142521,720,Addison-Wesley,2011,10,18
205,Java Enterprise in a Nutshell,"Jim Farley,William Crawford,John G. Norman,Justin Gehtland,Prakash Malani",9780596101428,896,"O'Reilly Media, Incorporated",2006,3,14
206,Just Java 2: J2SE 1.5 / Edition 6,Peter van der Linden,9780131482111,816,Prentice Hall,2004,7,28
